denue_id,clee,nombre_unidad,razon_social,scian_codigo,scian_nombre,estrato_personal,vialidad_tipo,vialidad_nombre,asentamiento_tipo,asentamiento_nombre,codigo_postal,cve_ent,cve_mun,cve_loc,ageb_id,manzana_id,tipo_establecimiento,latitud,longitud,fecha_alta
11835880,14120236221001791000000000U1, CIARCO CONSTRUCTORA ,CIARCO CONSTRUCTORA  SA DE CV,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",11 a 30 personas,CALLE,ANILLO PERIFERICO PONIENTE MANUEL GOMEZ MORIN,AVENIDA,MARIANO OTERO,45070,14,120,0001,5266,107,Fijo,20.66587982,-103.4478036,2025-04
6510898,14097236211000076100000000U9,ACESTA,ACESTA SA DE CV,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,CALZADA,JOSE GUADALUPE GALLO,CALLE,VICENTE GUERRERO,,14,120,0001,4516,022,Fijo,20.60440149,-103.4325934,2016-01
8400134,14039541330001402000000000U6,ADC SOLUCIONES INTEGRALES PARA LA CONSTRUCCION,ADC SOLUCIONES INTEGRALES SA DE CV,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",101 a 250 personas,CALLE,MAR MEDITERRANEO,PROLONGACION,MAR TIRRENO,,14,039,0001,0030,014,Fijo,20.70125324,-103.3747271,2019-11
9345347,14120236211000554000000000U5,ADMINISTRACION Y EDIFICACION EN RETAIL CONSTRUCCION DE REMODELACION Y ACABADOS,ADMINISTRACION Y EDIFICACION EN RETAIL S DE RL DE CV,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",11 a 30 personas,PRIVADA,JAVIER RUIZ VELAZCO PEREZ,AVENIDA,TEPEYAC,,14,120,0001,3607,006,Fijo,20.65410298,-103.4553683,2021-05
9316642,14039236221003231000000000U9,ADOCE ARQUITECTOS,ADOCE ARQUITECTOS SA DE CV,236111,Edificación de vivienda unifamiliar,31 a 50 personas,CALLE,PARQUE DE LAS ESTRELLAS,CALLE,HORIZONTE,,14,039,0001,1556,007,Fijo,20.67385524,-103.3904478,2020-11
6146207,14120236112000155001000000U1,AEDIFICANT,AEDIFICANT SA DE CV,237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",11 a 30 personas,CALLE,SANTA RITA,CALLE,SAN DEMETRIO,,14,120,0001,0547,018,Fijo,20.66963483,-103.4073094,2010-07
6146679,14039236211000442001000000U5,AFARQ CONTRUCCIONES ,AFARQ CONTRUCCIONES  SA DE CV,236111,Edificación de vivienda unifamiliar,11 a 30 personas,AVENIDA,FRAY ANDRES DE URDANETA,CALLE,ISLA TORTUGA,44950,14,039,0001,254A,029,Fijo,20.6456526,-103.3789126,2014-12
6752588,14039236221002693000000000U0,AGG GRUPO GUADALAJARA,AGG MANTENIMIENTO CORPORATIVO Y ACABADOS SA DE CV,236113,Supervisión de edificación residencial,11 a 30 personas,CALLE,CRUZ VERDE,CALLE,FRANCISCO ZARCO,44200,14,039,0001,0986,011,Fijo,20.68649608,-103.3571313,2016-10
6146476,14039236221001433000000000U2,AGHS ARQUITECTOS,AGHS ARQUITECTOS SA DE CV,236111,Edificación de vivienda unifamiliar,11 a 30 personas,CALLE,RIO DUERO,CALLE,RIO AMECA,,14,039,0001,3995,013,Fijo,20.64238693,-103.3255646,2010-07
6146238,14015236111000024001000000U3,AGREGADOS Y CONSTRUCTORES SAN PATRICIO,AGREGADOS Y CONSTRUCTORES SAN PATRICIO SA DE CV,237212,Construcción de obras de urbanización,51 a 100 personas,CALLE,RAMON CORONA,CALLE,MARIANO ESCOBEDO,,14,015,0001,0043,016,Fijo,19.77296015,-104.3679662,2010-07
6146477,14098237111000022010000000U2,AGUAS Y CAMINOS DE JALISCO,AGUAS Y CAMINOS DE JALISCO SA DE CV,237312,"Construcción de carreteras, puentes y similares",11 a 30 personas,CALLE,DIVISION DEL NORTE NORTE,CALLE,BATALLA DE CELAYA,,14,098,0001,2790,019,Fijo,20.61597058,-103.3190713,2010-07
1670281,14039238222000443000000000U8,AIRE AMBIENTAL CONTROLADO SERVICIO DE AIRE ACONDICIONADO,AIRE AMBIENTAL CONTROLADO SA DE CV,238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción,11 a 30 personas,CALLE,GENERAL CORONADO,CALLE,JUSTO SIERRA,44600,14,039,0001,1325,006,Fijo,20.67839698,-103.3651167,2014-12
6859651,14039236221002805011000000U0,ALBA CONTUR,ALBA CONTUR SA DE CV,237212,Construcción de obras de urbanización,101 a 250 personas,CALLE,MORELOS,CALLE,FRANCISCO JAVIER GAMBOA,,14,039,0001,1575,018,Fijo,20.67539515,-103.3763648,2019-04
6146479,14120237132000052011000000U7,ALBALI,ALBALI SA DE CV,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",11 a 30 personas,CALLE,VICTOR HUGO,CALLE,LAS ROSAS,,14,120,0001,3043,021,Fijo,20.72478026,-103.3400042,2010-07
6146385,14120237111000245010000000U1,ALCOR DE OCCIDENTE,ALCOR DE OCCIDENTE SA DE CV,237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",51 a 100 personas,AVENIDA,VALLARTA EJE PONIENTE,CALLE,ANILLO PERIFERICO PONIENTE MANUEL GOMEZ MORIN,45010,14,120,0001,1206,018,Fijo,20.69301051,-103.4526728,2010-07
1917537,14120624412000551010000000U5,ALCREQ,ALCREQ SA DE CV,237312,"Construcción de carreteras, puentes y similares",101 a 250 personas,CALLE,GIRASOL,CALLE,GERANIO,,14,120,0001,5196,008,Fijo,20.62878033,-103.4425235,2010-07
8686623,14039237131000182000000000U6,ALFERELECTRICO,GRUPO ALFERELECTRIC SA DE CV,238130,Trabajos de albañilería,11 a 30 personas,CALLE,ARGENSOLA,AVENIDA,INGLATERRA,44310,14,039,0001,1560,019,Fijo,20.66932794,-103.3840563,2019-11
6146889,14039237312000021010000000U2,ALQUIMIA CONSTRUCTOR,ALQUIMIA CONSTRUCTOR SA DE CV,237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",31 a 50 personas,CALLE,AGUSTIN DE LA ROSA,CALLE,AURELIO L GALLARDO,,14,039,0001,0948,020,Fijo,20.68831544,-103.3760431,2010-07
9052406,14039238210001213000000000U9,ALSER INTEGRACIONES TECNOLOGICAS,ALSER INTEGRACIONES TECNOLOGICAS SA DE CV,238210,Instalaciones eléctricas en construcciones,11 a 30 personas,CALLE,ISLA PANTENARIA,CALLE,ISLA MILOS,44950,14,039,0001,2709,040,Fijo,20.63502097,-103.3839803,2019-11
