CVEGEO,CVE_MUN,CVE_LOC
1400200020219,002,0002
1400200020172,002,0002
1400200020149,002,0002
1400200020242,002,0002
1400200020327,002,0002
1400200020257,002,0002
1400200020238,002,0002
1400200020276,002,0002
1400200020331,002,0002
1400200010134,002,0001
1400200010168,002,0001
1400200010295,002,0001
1400200010308,002,0001
1400200010312,002,0001
1400200010098,002,0001
1403900012554,039,0001
1403900015633,039,0001
1403900014565,039,0001
1403900012573,039,0001
1403900015366,039,0001
1403900015582,039,0001
1404400020149,044,0002
1404400020168,044,0002
1404400010365,044,0001
1404400020153,044,0002
1405100010088,051,0001
1405100010124,051,0001
1405100010177,051,0001
1405100010105,051,0001
140510001011A,051,0001
1407000141077,070,0014
1407000430986,070,0043
1407000011289,070,0001
1407000430666,070,0043
1407000200257,070,0020
140700001069A,070,0001
1407000201221,070,0020
1407000011043,070,0001
1407000011274,070,0001
1407000140948,070,0014
1407000430628,070,0043
1407000011217,070,0001
1407000200793,070,0020
1407001111378,070,0111
1407000011062,070,0001
1407000140454,070,0014
1407000430632,070,0043
1409700013096,097,0001
1409700151348,097,0015
140970777237A,097,0777
1409701152007,097,0115
140970015319A,097,0015
1409700153185,097,0015
1409708332948,097,0833
1409701153359,097,0115
1409700012488,097,0001
1409700313630,097,0031
1409700011121,097,0001
1409700013109,097,0001
1409700151738,097,0015
1409701153363,097,0115
1409700150706,097,0015
1409700152492,097,0015
1409700151723,097,0015
1409700382261,097,0038
1409700152539,097,0015
1409708312986,097,0831
1409700353448,097,0035
1409700150689,097,0015
1409708312030,097,0831
1409700010566,097,0001
1409700150693,097,0015
1409700011085,097,0001
1409701153433,097,0115
1409700151333,097,0015
1409708312187,097,0831
1409700013626,097,0001
1409705601282,097,0560
1409700320481,097,0032
1409700321850,097,0032
1409700341367,097,0034
1409700343221,097,0034
1409700253039,097,0025
1409700251193,097,0025
1409700250759,097,0025
1409700343645,097,0034
140970025301A,097,0025
1409700251225,097,0025
1409700252558,097,0025
1409700253024,097,0025
1409708443397,097,0844
1409700051314,097,0005
140970041326A,097,0041
140970041333A,097,0041
1409700413274,097,0041
1409700413310,097,0041
1409700051329,097,0005
1409700413325,097,0041
1409700053170,097,0005
1409700412149,097,0041
1409700413306,097,0041
1409700052581,097,0005
1409700413293,097,0041
1409700413344,097,0041
1409700050640,097,0005
140970005066A,097,0005
1409700413289,097,0041
1409700342505,097,0034
1409700321846,097,0032
1409700343236,097,0034
1409708443611,097,0844
1409800143248,098,0014
1409800011792,098,0001
140980001167A,098,0001
1409800013360,098,0001
1409800013089,098,0001
1409800013093,098,0001
1409800143233,098,0014
1409800013144,098,0001
1409800012540,098,0001
1409800011858,098,0001
1409800013110,098,0001
1409800012076,098,0001
1409800143021,098,0014
1409800012521,098,0001
1409800013356,098,0001
1409800011985,098,0001
1409800010879,098,0001
1409800013106,098,0001
1409800012095,098,0001
1409800012907,098,0001
141010026122A,101,0026
1410100012548,101,0001
1410100012482,101,0001
141010026154A,101,0026
1410100092618,101,0009
1410100012529,101,0001
1410100012533,101,0001
1410100012459,101,0001
141010009243A,101,0009
1410100261785,101,0026
1410100261249,101,0026
1410100011198,101,0001
1410100012590,101,0001
1410100012270,101,0001
1410100262285,101,0026
1410100261234,101,0026
1410100011874,101,0001
1410100011291,101,0001
1410100012514,101,0001
1410100091855,101,0009
1410100011889,101,0001
141200206504A,120,0206
1412002067347,120,0206
1412002066461,120,0206
1412002316480,120,0231
1412002316476,120,0231
1412002317239,120,0231
1412002314802,120,0231
1412002315603,120,0231
1412000014836,120,0001
1412000016090,120,0001
1412000014910,120,0001
1412000015622,120,0001
1412000014821,120,0001
1412000013857,120,0001
1412000016029,120,0001
1412000013664,120,0001
1412000014840,120,0001
1412000017258,120,0001
1412000016423,120,0001
1412000014944,120,0001
1412000013768,120,0001
1412000014041,120,0001
141200001721A,120,0001
1412000016086,120,0001
1412000014766,120,0001
1412000014906,120,0001
1412000017188,120,0001
141200001600A,120,0001
1412000012064,120,0001
1412000016315,120,0001
1412002317224,120,0231
1412000013876,120,0001
1412401760601,124,0176
141240001032A,124,0001
1412400010264,124,0001
1412400010230,124,0001
1412400010531,124,0001
1412400010457,124,0001
1412400010315,124,0001
1412400010476,124,0001
1412400010245,124,0001
1412400010584,124,0001
1412400010423,124,0001
1412400010419,124,0001
1412400010349,124,0001
141240001025A,124,0001
1412400010546,124,0001
1412400010372,124,0001
