trip_id,start_time,end_time,headway_secs,exact_times
R_01_ES_0,05:50:00,23:30:00,1199,0
R_01_FS_0,05:50:00,23:30:00,1199,0
R_02_ES_0,05:50:00,23:30:00,1199,0
R_02_FS_0,05:50:00,23:30:00,1199,0
R_03_ES_0,05:50:00,23:30:00,1199,0
R_03_FS_0,05:50:00,23:30:00,1199,0
R_04_ES_0,05:50:00,23:30:00,1199,0
R_01_ES_1,05:50:00,23:30:00,1199,0
R_01_FS_1,05:50:00,23:30:00,1199,0
R_02_ES_1,05:50:00,23:30:00,1199,0
R_02_FS_1,05:50:00,23:30:00,1199,0
R_03_ES_1,05:50:00,23:30:00,1199,0
R_03_FS_1,05:50:00,23:30:00,1199,0
R_04_ES_1,05:50:00,23:30:00,1199,0
R_04_FS_0,05:50:00,23:30:00,1199,0
R_04_FS_1,05:50:00,23:30:00,1199,0
R_05_ES_0,05:50:00,23:30:00,1199,0
R_05_ES_1,05:50:00,23:30:00,1199,0
R_05_FS_0,05:50:00,23:30:00,1199,0
R_05_FS_1,05:50:00,23:30:00,1199,0
R_06_ES_0,05:50:00,23:30:00,1199,0
R_06_ES_1,05:50:00,23:30:00,1199,0
R_06_FS_0,05:50:00,23:30:00,1199,0
R_06_FS_1,05:50:00,23:30:00,1199,0
R_07_ES_0,05:50:00,23:30:00,1199,0
R_07_ES_1,05:50:00,23:30:00,1199,0
R_07_FS_0,05:50:00,23:30:00,1199,0
R_07_FS_1,05:50:00,23:30:00,1199,0
R_08_ES_0,05:50:00,23:30:00,1199,0
R_08_ES_1,05:50:00,23:30:00,1199,0
R_08_FS_0,05:50:00,23:30:00,1199,0
R_08_FS_1,05:50:00,23:30:00,1199,0
R_09_ES_0,05:50:00,23:30:00,1199,0
R_09_ES_1,05:50:00,23:30:00,1199,0
R_09_FS_0,05:50:00,23:30:00,1199,0
R_09_FS_1,05:50:00,23:30:00,1199,0
R_10N_ES_0,05:50:00,23:30:00,1199,0
R_10N_ES_1,05:50:00,23:30:00,1199,0
R_10N_FS_0,05:50:00,23:30:00,1199,0
R_10N_FS_1,05:50:00,23:30:00,1199,0
R_10S_ES_0,05:50:00,23:30:00,1199,0
R_10S_ES_1,05:50:00,23:30:00,1199,0
R_10S_FS_0,05:50:00,23:30:00,1199,0
R_10S_FS_1,05:50:00,23:30:00,1199,0
R_11_ES_0,05:50:00,23:30:00,1199,0
R_11_ES_1,05:50:00,23:30:00,1199,0
R_11_FS_0,05:50:00,23:30:00,1199,0
R_11_FS_1,05:50:00,23:30:00,1199,0
R_12_ES_0,05:50:00,23:30:00,1199,0
R_12_ES_1,05:50:00,23:30:00,1199,0
R_12_FS_0,05:50:00,23:30:00,1199,0
R_12_FS_1,05:50:00,23:30:00,1199,0
R_14_ES_0,05:50:00,23:30:00,1199,0
R_14_ES_1,05:50:00,23:30:00,1199,0
R_14_FS_0,05:50:00,23:30:00,1199,0
R_14_FS_1,05:50:00,23:30:00,1199,0
R_16_ES_0,05:50:00,23:30:00,1199,0
R_16_ES_1,05:50:00,23:30:00,1199,0
R_16_FS_0,05:50:00,23:30:00,1199,0
R_16_FS_1,05:50:00,23:30:00,1199,0
R_18_ES_0,05:50:00,23:30:00,1199,0
R_18_ES_1,05:50:00,23:30:00,1199,0
R_18_FS_0,05:50:00,23:30:00,1199,0
R_18_FS_1,05:50:00,23:30:00,1199,0
R_19_ES_0,05:50:00,23:30:00,1199,0
R_19_ES_1,05:50:00,23:30:00,1199,0
R_19_FS_0,05:50:00,23:30:00,1199,0
R_19_FS_1,05:50:00,23:30:00,1199,0
R_20N_ES_0,05:50:00,23:30:00,1199,0
R_20N_FS_0,05:50:00,23:30:00,1199,0
R_20S_ES_0,05:50:00,23:30:00,1199,0
R_20S_FS_0,05:50:00,23:30:00,1199,0
R_23_ES_0,05:50:00,23:30:00,1199,0
R_23_ES_1,05:50:00,23:30:00,1199,0
R_23_FS_0,05:50:00,23:30:00,1199,0
R_23_FS_1,05:50:00,23:30:00,1199,0
R_24_ES_0,05:50:00,23:30:00,1199,0
R_24_ES_1,05:50:00,23:30:00,1199,0
R_24_FS_0,05:50:00,23:30:00,1199,0
R_24_FS_1,05:50:00,23:30:00,1199,0
R_25_ES_0,05:50:00,23:30:00,1199,0
R_25_ES_1,05:50:00,23:30:00,1199,0
R_25_FS_0,05:50:00,23:30:00,1199,0
R_25_FS_1,05:50:00,23:30:00,1199,0
R_27_ES_0,05:50:00,23:30:00,1199,0
R_27_ES_1,05:50:00,23:30:00,1199,0
R_27_FS_0,05:50:00,23:30:00,1199,0
R_27_FS_1,05:50:00,23:30:00,1199,0
R_28_ES_0,05:50:00,23:30:00,1199,0
R_28_ES_1,05:50:00,23:30:00,1199,0
R_28_FS_0,05:50:00,23:30:00,1199,0
R_28_FS_1,05:50:00,23:30:00,1199,0
R_29_ES_0,05:50:00,23:30:00,1199,0
R_29_ES_1,05:50:00,23:30:00,1199,0
R_29_FS_0,05:50:00,23:30:00,1199,0
R_29_FS_1,05:50:00,23:30:00,1199,0
R_30_ES_0,05:50:00,23:30:00,1199,0
R_30_ES_1,05:50:00,23:30:00,1199,0
R_30_FS_0,05:50:00,23:30:00,1199,0
R_30_FS_1,05:50:00,23:30:00,1199,0
R_33_ES_0,05:50:00,23:30:00,1199,0
R_33_ES_1,05:50:00,23:30:00,1199,0
R_33_FS_0,05:50:00,23:30:00,1199,0
R_33_FS_1,05:50:00,23:30:00,1199,0
R_34_ES_0,05:50:00,23:30:00,1199,0
R_34_ES_1,05:50:00,23:30:00,1199,0
R_34_FS_0,05:50:00,23:30:00,1199,0
R_34_FS_1,05:50:00,23:30:00,1199,0
R_35_ES_0,05:50:00,23:30:00,1199,0
R_35_ES_1,05:50:00,23:30:00,1199,0
R_35_FS_0,05:50:00,23:30:00,1199,0
R_35_FS_1,05:50:00,23:30:00,1199,0
R_36_ES_0,05:50:00,23:30:00,1199,0
R_36_ES_1,05:50:00,23:30:00,1199,0
R_36_FS_0,05:50:00,23:30:00,1199,0
R_36_FS_1,05:50:00,23:30:00,1199,0
R_37_ES_0,05:50:00,23:30:00,1199,0
R_37_ES_1,05:50:00,23:30:00,1199,0
R_37_FS_0,05:50:00,23:30:00,1199,0
R_37_FS_1,05:50:00,23:30:00,1199,0
R_38_ES_0,05:50:00,23:30:00,1199,0
R_38_ES_1,05:50:00,23:30:00,1199,0
R_38_FS_0,05:50:00,23:30:00,1199,0
R_38_FS_1,05:50:00,23:30:00,1199,0
R_39_ES_0,05:50:00,23:30:00,1199,0
R_39_ES_1,05:50:00,23:30:00,1199,0
R_39_FS_0,05:50:00,23:30:00,1199,0
R_39_FS_1,05:50:00,23:30:00,1199,0
R_40N_ES_0,05:50:00,23:30:00,1199,0
R_40N_FS_0,05:50:00,23:30:00,1199,0
R_40S_ES_0,05:50:00,23:30:00,1199,0
R_40S_FS_0,05:50:00,23:30:00,1199,0
R_41PENAL_ES_0,05:50:00,23:30:00,1199,0
R_41PENAL_ES_1,05:50:00,23:30:00,1199,0
R_41PENAL_FS_0,05:50:00,23:30:00,1199,0
R_41PENAL_FS_1,05:50:00,23:30:00,1199,0
R_41ALAMEDA_ES_0,05:50:00,23:30:00,1199,0
R_41ALAMEDA_ES_1,05:50:00,23:30:00,1199,0
R_41ALAMEDA_FS_0,05:50:00,23:30:00,1199,0
R_41ALAMEDA_FS_1,05:50:00,23:30:00,1199,0
R_42_ES_0,05:50:00,23:30:00,1199,0
R_42_ES_1,05:50:00,23:30:00,1199,0
R_42_FS_0,05:50:00,23:30:00,1199,0
R_42_FS_1,05:50:00,23:30:00,1199,0
R_45_ES_0,05:50:00,23:30:00,1199,0
R_45_ES_1,05:50:00,23:30:00,1199,0
R_45_FS_0,05:50:00,23:30:00,1199,0
