route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,continuous_pickup,continuous_drop_off
R_01,SIT_Aguascalientes,R01,R-01,3,D166A6,F0F0F0,3,3
R_02,SIT_Aguascalientes,R02,R-02,3,BF0733,F0F0F0,3,3
R_03,SIT_Aguascalientes,R03,R-03,3,534108,F0F0F0,3,3
R_04,SIT_Aguascalientes,R04,R-04,3,1125FA,F0F0F0,3,3
R_05,SIT_Aguascalientes,R05,R-05,3,6D3160,F0F0F0,3,3
R_06,SIT_Aguascalientes,R06,R-06,3,F21429,F0F0F0,3,3
R_07,SIT_Aguascalientes,R07,R-07,3,834348,F0F0F0,3,3
R_08,SIT_Aguascalientes,R08,R-08,3,C4CBA6,000000,3,3
R_09,SIT_Aguascalientes,R09,R-09,3,6BC361,000000,3,3
R_10N,SIT_Aguascalientes,R10N,R-10N,3,AD7500,F0F0F0,3,3
R_10S,SIT_Aguascalientes,R10S,R-10S,3,F9E0E0,000000,3,3
R_11,SIT_Aguascalientes,R11,R-11,3,F7CA22,000000,3,3
R_12,SIT_Aguascalientes,R12,R-12,3,FD79BB,F0F0F0,3,3
R_14,SIT_Aguascalientes,R14,R-14,3,034DE2,F0F0F0,3,3
R_16,SIT_Aguascalientes,R16,R-16,3,EFEE73,000000,3,3
R_18,SIT_Aguascalientes,R18,R-18,3,38FA7C,000000,3,3
R_19,SIT_Aguascalientes,R19,R-19,3,AAB9EF,000000,3,3
R_20N,SIT_Aguascalientes,R20N,R-20N,3,95508F,F0F0F0,3,3
R_20S,SIT_Aguascalientes,R20S,R-20S,3,5F3C68,F0F0F0,3,3
R_23,SIT_Aguascalientes,R23,R-23,3,18EBFE,000000,3,3
R_24,SIT_Aguascalientes,R24,R-24,3,63DF76,000000,3,3
R_25,SIT_Aguascalientes,R25,R-25,3,D4C304,000000,3,3
R_27,SIT_Aguascalientes,R27,R-27,3,BAB026,000000,3,3
R_28,SIT_Aguascalientes,R28,R-28,3,AA5E05,F0F0F0,3,3
R_29,SIT_Aguascalientes,R29,R-29,3,7643D4,F0F0F0,3,3
R_30,SIT_Aguascalientes,R30,R-30,3,2BAB46,F0F0F0,3,3
R_33,SIT_Aguascalientes,R33,R-33,3,652391,F0F0F0,3,3
R_34,SIT_Aguascalientes,R34,R-34,3,04C721,000000,3,3
R_35,SIT_Aguascalientes,R35,R-35,3,4DB83D,000000,3,3
R_36,SIT_Aguascalientes,R36,R-36,3,8C1A1E,F0F0F0,3,3
R_37,SIT_Aguascalientes,R37,R-37,3,EEE050,000000,3,3
R_38,SIT_Aguascalientes,R38,R-38,3,D03570,F0F0F0,3,3
R_39,SIT_Aguascalientes,R39,R-39,3,823253,F0F0F0,3,3
R_40N,SIT_Aguascalientes,R40N,R-40N,3,4EEA6C,000000,3,3
R_40S,SIT_Aguascalientes,R40S,R-40S,3,100234,F0F0F0,3,3
R_41ALAMEDA,SIT_Aguascalientes,R41ALAMEDA,R-41ALAMEDA,3,001CF3,F0F0F0,3,3
R_41PENAL,SIT_Aguascalientes,R41PENAL,R-41PENAL,3,3FDE05,F0F0F0,3,3
R_42,SIT_Aguascalientes,R42,R-42,3,24AF6F,F0F0F0,3,3
R_43N,SIT_Aguascalientes,R43N,R-43N,3,A31EA4,F0F0F0,3,3
R_43S,SIT_Aguascalientes,R43S,R-43S,3,C82447,F0F0F0,3,3
R_45,SIT_Aguascalientes,R45,R-45,3,E514E2,F0F0F0,3,3
R_46,SIT_Aguascalientes,R46,R-46,3,5197EE,F0F0F0,3,3
R_47,SIT_Aguascalientes,R47,R-47,3,5321D4,F0F0F0,3,3
R_48,SIT_Aguascalientes,R48,R-48,3,A997EC,000000,3,3
R_50,SIT_Aguascalientes,R50,R-50,3,AEB21D,F0F0F0,3,3
R_50B,SIT_Aguascalientes,R50B,R-50B,3,304934,F0F0F0,3,3
R_51,SIT_Aguascalientes,R51,R-51,3,2B64C2,F0F0F0,3,3
R_52,SIT_Aguascalientes,R52,R-52,3,2D735B,F0F0F0,3,3
