stop_id,stop_name,stop_lat,stop_lon
P001,Amapolas,21.989779,-102.293703
P002,Azucena,21.990976,-102.293365
P003,Luciano Luna,21.993659,-102.292841
P004,Casa Citein,21.996453,-102.292326
P005,Delegación Margaritas,21.998796,-102.29102
P006,Panamericana,21.998578,-102.288554
P007,Alegría,21.995665,-102.288596
P008,San Antonio,21.993169,-102.288703
P009,Margaritas,21.99062,-102.288946
P010,Universidad De Durango,21.975153,-102.28956
P011,Piva,21.966703,-102.289869
P012,Flex,21.96021,-102.290248
P013,Las Palapas,21.952957,-102.290479
P014,Siglo Xxi,21.946549,-102.290849
P015,Las Trojes,21.938289,-102.291221
P016,Las Cavas,21.934698,-102.291316
P017,Luis Gil,21.931479,-102.291444
P018,Galerías,21.924267,-102.291769
P019,Av. Aguascalientes Norte,21.916522,-102.292182
P020,Agropecuario,21.913452,-102.292263
P021,Faja De Oro,21.906912,-102.292481
P022,Inagua,21.902134,-102.292703
P023,Imss 10,21.899713,-102.292721
P024,Berkefer,21.896716,-102.292753
P025,Independencia,21.893475,-102.293207
P027,Zaragoza,21.889354,-102.293822
P028,Jardín Del Mariachi,21.886986,-102.296096
P029,Mercado Morelos,21.884474,-102.295513
P030,Plaza Fundadores,21.879795,-102.294141
P031,Encino,21.875065,-102.292542
P032,Colón,21.872398,-102.292497
P033,Paul Harris,21.870329,-102.295178
P034,Universidad Cuauhtemoc,21.866944,-102.294576
P035,Mahatma,21.86569,-102.295355
P036,Central Camionera,21.865185,-102.29854
P037,República Mexicana,21.863041,-102.299235
P038,Nevado De Colima,21.858766,-102.299563
P039,Centro Poniente,21.856,-102.301054
P040,Concención,21.849877,-102.301256
P041,Abraham González,21.848158,-102.30136
P042,Siglo Xxi,21.845695,-102.301617
P043,Isabel Robles,21.845893,-102.305654
P044,Belisario,21.845278,-102.308546
P045,Manuel Ramos,21.844899,-102.309874
P046,Padua,21.844188,-102.312475
P047,Murano,21.843076,-102.316269
P048,Patio Santa Mónica,21.842856,-102.319626
P049,Heb,21.843119,-102.321121
P050,Morelos,21.846211,-102.32046
P051,Luis Medina,21.848781,-102.31684
P052,Delegación Insurgentes,21.849109,-102.319019
P053,Jesús Ornelas,21.847112,-102.320205
P054,Heb,21.842816,-102.321852
P055,Santa Mónica,21.842855,-102.31584
P056,Panteón San Francisco,21.843743,-102.312711
P057,Villas Del Pilar,21.844959,-102.308436
P058,Carlos López,21.845436,-102.303896
P059,Del Potro,21.845984,-102.301361
P060,Codorniz,21.850002,-102.301021
P061,Del Cardenal,21.853097,-102.300814
P062,Marisacal Oropeza,21.854645,-102.300882
P063,Hospital San Rafael,21.85635,-102.300703
P064,República De Uruguay,21.861389,-102.300031
P065,Cmq,21.863108,-102.298889
P067,Central Camionera,21.86604,-102.298745
P068,Dif Estatal,21.865685,-102.296641
P069,Imss 1,21.86621,-102.294166
P070,Hernan González,21.86836,-102.294567
P071,Paul Harris,21.869409,-102.294723
P072,Ayuntamiento,21.872388,-102.294917
P073,Vicenta Trujillo,21.875301,-102.294903
P074,Héroes De Chapultepec,21.876546,-102.29521
P075,Larreategui,21.884985,-102.297652
P076,Jardin Del Andador,21.887132,-102.296733
P077,Zaragoza,21.889316,-102.295413
P078,México,21.890814,-102.294909
P080,Norberto Gómez,21.893234,-102.293249
P082,Tomás Medina,21.896752,-102.291384
P083,Alfredo Lewis,21.89948,-102.292285
P084,Celso Bernal,21.902297,-102.292389
P085,Aglaya,21.907199,-102.292167
P087,Agopecuario Express,21.912979,-102.291924
P088,Del Molino,21.917275,-102.291653
P089,Altaria,21.924169,-102.291314
P090,Leche San Marcos,21.930047,-102.291142
P091,Hotel Ibis,21.934993,-102.290922
P092,Siglo Xxi,21.939821,-102.290748
P093,La Perla,21.945727,-102.290369
P094,Las Palapas,21.960267,-102.289816
P096,Rebeca Rodríguez,21.975111,-102.289153
P097,Paso De Argenta,21.990341,-102.288525
P098,Gómez Portugal,21.992967,-102.288408
P099,Bugambilia,21.998585,-102.288156
P100,Carranza,21.998955,-102.288429
P101,Margaritas,21.999031,-102.292419
P102,Alegría,21.996027,-102.292502
P103,Luciano Luna,21.993213,-102.293027
P105,Paseo De La Biznaga,21.86415,-102.228763
P106,Sotol,21.865563,-102.22865
P107,Juventino,21.866404,-102.230762
P108,Salud,21.86919,-102.233053
P109,Monte Fuji,21.870443,-102.230387
P110,Fokuoka,21.873412,-102.229648
P111,Cabuya,21.874424,-102.230819
P112,Bachillerato Frida Kahlo,21.873765,-102.232552
P113,Recinto Cactus,21.874054,-102.235288
P114,Próceres De La Enseñanza,21.873461,-102.237901
P115,Felipe Collazo,21.872367,-102.237838
P116,Salvador Ramírez,21.869178,-102.236997
P117,Av. Salud,21.86764,-102.236572
P118,Av. Tecnológico,21.86523,-102.235864
P119,Luis Navarro,21.865458,-102.237336
P120,Siglo Xxi,21.867628,-102.243696
P121,Tecnológico,21.866938,-102.245053
P122,Templo De San José Obrero,21.862845,-102.248272
P123,Primaria Tierra Solida,21.860091,-102.249763
P124,Chichem-Itza,21.85683,-102.252132
P125,Hospital Tercer Milenio,21.855761,-102.255196
P126,Monumento Morelos,21.854744,-102.25935
P127,Mayo De 1812,21.854547,-102.260257
P128,Hermanos Galena,21.853699,-102.263592
P129,Primaria Mariano Jiménez,21.853347,-102.265154
P130,Héroe Inmortal,21.85239,-102.269142
P131,Hermanos Bravo,21.854435,-102.269249
P132,Sitio De Cautla,21.855971,-102.269276
P133,Causillos,21.858719,-102.26933
P134,Puente Arqueros,21.86021,-102.270669
P135,Ignacio Valtierra,21.860235,-102.273561
P136,Chichuahua,21.860183,-102.276403
P137,Puente Chiapas,21.860228,-102.278825
P138,Tamaulipas,21.860296,-102.280872
P139,Secundaria General 5,21.862813,-102.282629
P140,Ayuntamiento,21.864918,-102.28234
P141,Delicias,21.867734,-102.281773
P142,Ctm,21.871462,-102.2817
P143,Normal De Aguascalientes,21.873231,-102.281555
P144,Santa Rosa,21.87554,-102.281445
P145,Plaza Cristal,21.877884,-102.281335
P146,Puri,21.881021,-102.282029
P147,Madero,21.883764,-102.282498
P148,Ejido,21.884735,-102.283192
P149,Barragán,21.884024,-102.285698
P150,Sindicato Ferrocarrilero,21.883503,-102.287398
P151,González Saracho,21.883109,-102.290471
P152,Guzmán,21.88815,-102.293298
P153,México,21.890458,-102.294766
P154,Jardín Primavera,21.891644,-102.293086
P155,Isidro Caldera,21.892791,-102.289206
P156,Primaria Rafael Arellano Valle,21.8935,-102.286698
P157,R. Macias,21.893491,-102.285698
P158,Pino Suaréz,21.889895,-102.284554
P159,Lerdo De Tejada,21.887579,-102.283783
P160,Ejido,21.885277,-102.283035
P161,Refugio Reyes,21.883264,-102.282638
P162,Supremo Tribunal De Justicia,21.880451,-102.282037
P163,Plaza Cristal,21.878059,-102.28144
P164,Paseo De La Cruz,21.875648,-102.28161
P165,Normal De Aguascalientes,21.873168,-102.281771
P166,San Joaquín,21.870882,-102.281911
P167,Hotel De La Noria,21.867478,-102.281936
P168,Parque Ayuntamiento,21.865292,-102.282517
P169,Fray Antonio De Segovia,21.862805,-102.282814
P170,Michoacán,21.85987,-102.280845
P171,Primaria México,21.85996,-102.278423
P172,Mariano Escobedo,21.859844,-102.273538
P173,Caudillos,21.859244,-102.269593
P174,Soldado Insurgente,21.855946,-102.269533
P175,Pedro Ascencio,21.852945,-102.269484
P176,Parque Fonapo,21.852844,-102.265518
P177,Mercado Morelos,21.853508,-102.262866
P178,22 De Diciembre,21.85444,-102.258995
P179,Mariano Hidalgo,21.85489,-102.257101
P180,Profesor Otilio,21.855547,-102.254453
P181,José González,21.856379,-102.252066
P182,Adolfo De La Huerta,21.859669,-102.249524
P183,Arroyo,21.862111,-102.248202
P184,Cerro Del Mixtón,21.863975,-102.247219
P185,Av. Poliducto,21.867132,-102.243312
P186,Palma Mexicana,21.866096,-102.240092
P187,Antonio Leal,21.865909,-102.235516
P188,Eusebio Sanchez,21.867881,-102.236042
P189,Carlos Corral,21.869404,-102.236434
P190,Felipe Collazo,21.872112,-102.237206
P191,José Trinidad,21.873811,-102.235309
P192,Bachillerato 8/4,21.873681,-102.232558
P193,Lechuguilla,21.874252,-102.230895
P194,José Guerra,21.873443,-102.229679
P195,Yokohama,21.870609,-102.230354
P196,Av. Salud,21.869208,-102.233266
P197,Av. Sotol,21.866234,-102.230846
P198,Carmen De Luna,21.864256,-102.229029
P200,San Gerardo,21.808508,-102.292719
P201,San Gerardo,21.808839,-102.292295
P202,Benedicto Xvi,21.807478,-102.300024
P203,Primaria Niños Héroes,21.827041,-102.293799
P204,Central De Abastos,21.829331,-102.2936
P205,Siglo Xxi,21.832401,-102.293434
P206,Terminal Sur,21.834109,-102.292173
P207,Autotianguis,21.836584,-102.293364
P208,Chichoasén,21.840377,-102.293384
P209,Emilio Barrasa,21.842286,-102.293456
P210,Preescolar Girasol,21.845392,-102.293621
P211,Comercial Villasunción,21.849725,-102.293817
P212,Faisán,21.850408,-102.297234
P213,Canario,21.849976,-102.298905
P214,Iglesia Jesúscristo,21.853758,-102.30292
P215,Diego Fernández,21.855127,-102.304209
P216,Av. Aguascalientes Sur,21.857627,-102.305034
P217,Felipe Chávez,21.859083,-102.303967
P218,Rafael Ramírez,21.859436,-102.30264
P219,Gúzman,21.884772,-102.29661
P220,Jardín Carpio,21.892033,-102.294995
P221,Nacozari Norte,21.90137,-102.289378
P222,Servando Hernández,21.902548,-102.28855
P223,Afrodita,21.905717,-102.289603
P224,Aglaya,21.907394,-102.290162
P225,Arco De La Libertad,21.909909,-102.29101
P226,Calidra,21.912202,-102.291764
P227,Mazda,21.915171,-102.289971
P228,Juan Bautista,21.916623,-102.286172
P229,Adoratrices,21.920833,-102.285385
P230,Pozo Platino,21.924521,-102.284544
P231,Pozo De Cristal,21.928261,-102.283634
P232,Los Naranjos,21.930509,-102.283146
P233,Artículo 35,21.933332,-102.282277
P234,Artículo 23,21.936029,-102.281324
P235,Siglo Xxi,21.939727,-102.279728
P236,Niños Héroes,21.941831,-102.278452
P237,Viñedos San Fernando,21.957521,-102.271863
P238,Viñedos Marquitos,21.958471,-102.273849
P239,Memo Lara,21.95692,-102.274178
P240,Viñedos Rivier,21.955956,-102.275755
P241,Memo Lara,21.956901,-102.276516
P242,Viñedos Marquitos,21.95864,-102.276196
P243,Viñedos San Marcos,21.960221,-102.275818
P244,16 De Septiembre,21.960461,-102.270798
P245,Felipe Angeles,21.959893,-102.269011
P246,Carranza,21.95951,-102.267849
P247,Luis Echeverria,21.959124,-102.266695
P248,Mexcala,21.958929,-102.25764
P249,Ocotlán,21.958525,-102.256383
P250,El Salto,21.95725,-102.255458
P251,Poncitlán,21.955508,-102.253289
P253,Coyoacán,21.955036,-102.250718
P254,La Barca,21.956738,-102.249213
P256,Poncitlán,21.958856,-102.247152
P257,Texcoco,21.957483,-102.246801
P258,Arocutin,21.95361,-102.248429
P259,Napizaro,21.9560186,-102.24624
P260,Ixtlahuacan,21.959089,-102.247055
P261,Texcoco,21.959118,-102.249304
P262,Tuxcueca,21.957754,-102.251545
P263,Chapala,21.956675,-102.249331
P264,Coyoacán,21.955926,-102.249609
P265,Lerma,21.955171,-102.251404
P266,Santiago,21.955707,-102.252808
P268,Jocotepec,21.958664,-102.256185
P269,Carranza,21.959254,-102.266573
P270,Felipe Angeles,21.959878,-102.268304
P271,Iglesia Del Puertecito De La Virgen,21.960214,-102.269558
P272,Viñedos Guadalupe,21.960496,-102.271026
P273,Viñedos Rivier,21.960442,-102.275742
P274,Viñedos San Fernando,21.958488,-102.276413
P275,Paton González,21.956025,-102.276889
P276,Viñedos San Marcos,21.955549,-102.274614
P277,Salvador Martínez,21.956845,-102.274095
P278,Viñedos Cariñan,21.958635,-102.273773
P279,Chato Morones,21.957652,-102.272141
P280,Artículo 52,21.939489,-102.280203
P281,Artículo 21,21.936051,-102.281598
P283,Artículo 30,21.93328,-102.282556
P284,Artículo 11,21.930465,-102.283417
P285,Artículo 39,21.927178,-102.284182
P286,Artículo 6,21.924787,-102.284778
P287,Artículo 4,21.921499,-102.285512
P288,Artículo 3,21.917992,-102.286195
