route_id,service_id,trip_id,trip_short_name,direction_id,shape_id
R_01,ES,R_01_ES_0,Vicente Guerrero - Margaritas,0,R_01_IDA
R_01,ES,R_01_ES_1,Margaritas - Vicente Guerrero,1,R_01_REGRESO
R_01,FS,R_01_FS_0,Vicente Guerrero - Margaritas,0,R_01_IDA
R_01,FS,R_01_FS_1,Margaritas - Vicente Guerrero,1,R_01_REGRESO
R_02,ES,R_02_ES_0,Lunaria - Centro (Calle Morelos),0,R_02_IDA
R_02,ES,R_02_ES_1,Centro (Calle Morelos) - Lunaria,1,R_02_REGRESO
R_02,FS,R_02_FS_0,Lunaria - Centro (Calle Morelos),0,R_02_IDA
R_02,FS,R_02_FS_1,Centro (Calle Morelos) - Lunaria,1,R_02_REGRESO
R_03,ES,R_03_ES_0,La Ribera - Uaa Sur,0,R_03_IDA
R_03,ES,R_03_ES_1,Uaa Sur - La Ribera,1,R_03_REGRESO
R_03,FS,R_03_FS_0,La Ribera - Uaa Sur,0,R_03_IDA
R_03,FS,R_03_FS_1,Uaa Sur - La Ribera,1,R_03_REGRESO
R_04,ES,R_04_ES_0,Jesús María - Terminal Sur,0,R_04_IDA
R_04,ES,R_04_ES_1,Terminal Sur - Jesús María,1,R_04_REGRESO
R_04,FS,R_04_FS_0,Jesús María - Terminal Sur,0,R_04_IDA
R_04,FS,R_04_FS_1,Terminal Sur - Jesús María,1,R_04_REGRESO
R_05,ES,R_05_ES_0,La Ribera - Vicente Guerrero,0,R_05_IDA
R_05,ES,R_05_ES_1,Vicente Guerrero - La Ribera,1,R_05_REGRESO
R_05,FS,R_05_FS_0,La Ribera - Vicente Guerrero,0,R_05_IDA
R_05,FS,R_05_FS_1,Vicente Guerrero - La Ribera,1,R_05_REGRESO
R_06,ES,R_06_ES_0,Terminal Sur - Jesús María,0,R_06_IDA
R_06,ES,R_06_ES_1,Jesús María - Terminal Sur,1,R_06_REGRESO
R_06,FS,R_06_FS_0,Terminal Sur - Jesús María,0,R_06_IDA
R_06,FS,R_06_FS_1,Jesús María - Terminal Sur,1,R_06_REGRESO
R_07,ES,R_07_ES_0,Centro (Calle Morelos) - Las Palmas,0,R_07_IDA
R_07,ES,R_07_ES_1,Las Palmas - Centro (Calle Morelos),1,R_07_REGRESO
