cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
0100100010017,2237,777,1437,23,125,383,141,633
0100100010106,2962,859,2029,74,84,212,940,991
0100100010163,2698,1032,1648,18,74,204,622,752
0100100010182,2218,454,1595,169,130,255,653,610
0100100010229,300,35,235,30,11,32,91,110
0100100010233,1400,276,990,134,69,225,304,425
0100100010286,3262,478,2085,699,137,398,849,1012
0100100010290,1668,243,1134,291,58,189,431,516
0100100010303,2202,358,1487,353,102,291,439,652
0100100010322,2218,413,1457,330,95,269,419,634
0100100010337,1241,275,814,152,69,147,187,348
0100100010341,1763,305,1158,297,78,238,309,482
0100100010356,1237,202,817,207,54,150,252,360
0100100010360,1629,297,1059,273,70,195,253,498
0100100010375,859,149,596,114,41,108,157,248
0100100010407,509,82,360,65,17,49,138,152
0100100010411,742,160,476,92,32,94,76,188
0100100010426,2027,423,1321,283,100,232,279,572
0100100010430,1816,386,1174,256,93,217,228,483
0100100010445,1858,407,1191,260,86,222,246,493
0100100010464,304,56,183,65,11,27,72,94
0100100010483,2900,530,1896,472,111,319,417,866
0100100010498,2455,434,1659,362,92,308,349,753
0100100010500,2646,514,1765,367,117,335,376,783
0100100010515,2585,398,1734,453,80,271,482,833
0100100010534,2395,412,1590,393,92,291,398,688
0100100010549,2501,367,1673,457,91,292,524,863
0100100010553,1441,256,931,254,57,169,249,470
0100100010568,1419,205,945,269,66,178,256,441
0100100010572,2220,295,1542,383,63,259,455,795
0100100010587,3127,666,2000,453,139,377,514,816
0100100010591,2010,342,1274,394,87,231,321,575
0100100010604,1800,297,1147,356,70,169,338,572
0100100010619,2543,382,1659,502,74,231,537,800
0100100010623,999,123,664,212,33,96,206,342
0100100010638,472,50,305,116,14,42,93,170
0100100010642,1347,166,891,290,35,128,328,510
0100100010657,1899,303,1253,340,62,218,358,673
0100100010676,1448,205,967,275,66,165,392,464
0100100010680,1202,149,683,370,38,96,356,410
0100100010695,846,110,558,178,34,96,175,297
0100100010708,1245,151,851,243,45,158,228,427
0100100010712,2487,415,1671,401,107,266,431,820
0100100010727,1354,270,881,203,55,140,190,400
0100100010731,837,140,565,132,48,109,153,271
0100100010746,390,65,252,73,12,37,77,126
0100100010784,699,94,471,134,17,78,131,223
0100100010799,3683,616,2395,672,123,413,682,1183
0100100010801,1277,174,766,334,41,152,235,395
0100100010816,1954,387,1356,211,92,250,382,595
0100100010820,1940,279,1248,409,89,242,362,592
0100100010835,1432,168,887,373,43,146,424,455
0100100010854,1201,212,826,163,62,167,166,351
0100100010869,1449,201,1038,210,75,170,373,469
0100100010873,912,127,629,155,24,107,185,282
0100100010888,2001,327,1300,369,58,203,469,572
0100100010892,3015,588,2036,387,147,371,513,858
0100100010905,4465,983,2743,739,226,505,573,1309
0100100010939,623,89,446,88,26,74,176,201
0100100010962,4088,827,2641,601,175,486,603,1130
0100100010977,3386,615,2302,469,161,425,661,978
0100100010996,795,169,584,42,47,94,225,223
0100100011000,2446,800,1586,60,132,202,606,724
0100100011034,5369,1923,3359,87,290,628,597,1542
0100100011091,3926,1359,2528,39,124,370,832,1235
0100100011161,5374,1904,3426,44,173,766,904,1671
0100100011195,1821,446,1307,68,59,282,555,580
0100100011208,1634,463,1135,36,34,187,537,542
0100100011227,2264,596,1621,47,49,205,770,789
0100100011265,1052,364,674,14,36,112,179,332
0100100011299,3483,564,2624,295,226,495,1001,922
0100100011316,1981,415,1375,191,123,266,389,556
0100100011320,5076,1194,3310,569,243,567,830,1279
0100100011354,4573,1010,3262,301,240,609,1060,1268
0100100011373,3785,838,2503,444,172,417,685,1047
0100100011392,6245,1609,3994,642,285,661,728,1450
0100100011405,7268,1967,4613,673,386,819,773,1605
0100100011424,26,9,17,0,0,*,7,8
0100100011439,5647,1286,3753,608,233,575,1036,1539
0100100011458,2088,513,1363,212,122,270,364,546
0100100011462,334,68,228,38,20,39,50,85
0100100011477,1920,380,1444,96,88,415,563,566
0100100011481,17,6,11,0,0,6,3,6
0100100011509,2670,530,1820,314,119,326,622,794
0100100011528,158,34,109,15,5,24,27,41
0100100011547,1680,303,1117,260,85,192,259,479
0100100011551,177,24,133,20,12,23,49,53
0100100011636,3120,559,2304,243,185,452,794,921
0100100011674,1697,380,1176,141,74,249,334,456
0100100011689,5188,1389,3541,256,246,663,554,1367
0100100011693,5784,1165,4252,364,277,820,1262,1671
0100100011710,3247,898,2157,192,181,422,395,724
0100100011744,5416,1560,3472,384,300,609,494,1434
0100100011782,0,0,0,0,0,0,0,0
0100100011956,1344,185,939,218,60,143,384,358
0100100011960,1053,112,677,264,28,112,340,313
0100100011975,933,175,633,125,29,101,213,252
0100100011994,1513,234,1152,127,51,241,421,489
0100100012009,3098,529,2074,478,109,364,652,862
0100100012013,3538,595,2302,641,148,390,923,1133
0100100012028,2916,435,1833,648,95,282,814,973
0100100012032,2435,554,1738,143,98,263,365,734
0100100012047,1046,180,688,178,46,132,162,319
0100100012051,2894,528,1906,460,126,335,500,776
0100100012066,5703,1159,3723,816,300,655,787,1482
0100100012070,1892,223,1315,354,63,216,563,610
0100100012085,2973,431,2133,409,119,331,861,938
0100100012102,1186,157,718,311,37,122,377,385
0100100012117,1626,272,1079,273,61,174,346,508
0100100012121,3007,769,1950,288,152,371,346,825
0100100012136,3630,785,2672,173,191,534,675,987
0100100012140,1989,507,1275,207,73,265,244,506
0100100012155,2664,733,1752,179,175,386,262,632
0100100012174,3237,727,2079,428,153,366,414,815
0100100012189,2745,608,1740,390,141,288,351,688
0100100012193,5669,1566,3520,547,308,676,525,1252
0100100012206,4385,1267,2802,305,258,573,420,953
0100100012210,3798,1077,2378,343,226,476,293,788
0100100012225,4683,1341,3029,311,283,618,568,1040
0100100012259,1552,155,1115,282,48,244,471,487
0100100012263,2472,328,1656,488,105,282,762,746
0100100012278,3994,678,2838,475,182,584,907,1143
0100100012282,3382,669,2187,523,151,422,476,971
0100100012297,2002,357,1326,319,89,205,350,570
0100100012314,4871,871,3381,619,207,541,997,1451
0100100012329,3566,899,2413,254,164,405,551,993
0100100012333,3012,506,2192,303,94,430,706,971
0100100012348,3129,846,2068,215,188,426,311,688
0100100012352,3682,992,2437,200,229,494,480,866
0100100012367,3367,922,2221,209,191,518,388,808
0100100012371,1288,133,1012,143,45,192,387,389
0100100012386,2728,335,2066,327,113,341,835,841
0100100012390,1147,108,738,301,42,109,377,362
0100100012403,2345,235,1733,377,99,320,705,675
0100100012422,2908,495,1999,406,110,315,667,887
0100100012456,938,121,690,127,56,156,259,253
0100100012460,1752,346,1263,143,72,204,401,593
0100100012475,4273,839,3164,269,192,572,1086,1241
0100100012494,3943,1083,2649,211,227,481,393,1045
0100100012507,3631,863,2515,253,163,457,521,1033
0100100012511,4300,758,3236,301,176,632,1055,1363
0100100012526,3113,506,2418,189,181,513,844,962
0100100012564,5349,1170,3964,211,280,825,1027,1471
0100100012579,4035,923,2949,163,178,586,544,1084
0100100012583,3611,857,2543,211,176,446,488,978
0100100012598,3823,820,2858,145,180,594,731,1099
0100100012600,4773,1037,3511,225,214,726,903,1405
0100100012634,3325,857,2319,145,199,475,443,820
0100100012649,3435,723,2536,176,196,540,681,897
0100100012668,2764,677,1918,167,135,379,338,660
0100100012672,4351,714,3342,292,208,687,1055,1261
0100100012687,8357,1718,6181,458,374,1123,2114,2435
0100100012691,4965,916,3680,357,227,670,1052,1472
0100100012704,8289,2068,5780,437,411,1134,1347,2217
0100100012719,6878,1481,5061,336,345,1059,1199,1879
0100100012723,6352,1535,4464,353,311,906,859,1506
0100100012761,5842,1264,4345,227,302,934,1278,1663
0100100012780,4663,1229,3252,182,277,764,741,1226
0100100012795,4652,1316,3135,201,260,702,464,1090
0100100012808,5945,1513,4190,235,354,906,846,1483
0100100012812,5209,1328,3706,175,272,841,658,1311
0100100012831,2611,695,1783,133,153,362,450,650
0100100012846,2079,577,1372,130,93,293,316,459
0100100012850,4955,1289,3456,204,234,623,517,1358
0100100012865,4328,1225,2971,130,214,580,453,1186
0100100012884,2516,344,1695,476,80,280,676,777
0100100012920,1179,253,875,51,71,204,270,329
0100100012935,984,320,617,47,54,146,97,248
0100100012954,5451,1481,3837,129,420,906,776,1386
0100100012969,4449,1143,3186,110,302,846,593,1114
0100100012973,4493,1227,3153,111,314,803,636,1073
0100100012988,1138,276,806,54,77,160,252,345
0100100012992,471,137,310,24,25,64,64,115
0100100013011,6159,1700,4314,144,430,1071,890,1502
0100100013045,4365,1410,2867,88,316,599,602,1139
0100100013064,2342,706,1590,46,183,354,331,625
0100100013079,3852,780,2925,144,244,653,903,1077
0100100013083,3852,810,2842,200,218,489,1068,1165
0100100013098,2985,646,2127,209,219,378,828,850
0100100013115,2330,596,1674,60,162,430,291,530
0100100013149,2381,784,1499,98,176,351,236,547
0100100013153,2042,493,1374,175,111,290,384,491
0100100013168,4378,1048,2900,430,223,559,720,1113
0100100013172,2421,555,1786,80,175,361,539,673
0100100013187,3903,874,2443,586,183,455,583,1027
0100100013191,3757,1149,2530,78,305,485,550,977
0100100013204,2498,761,1662,75,162,341,429,671
0100100013219,1553,337,1174,42,117,268,337,435
0100100013223,1645,380,1084,181,86,197,225,457
0100100013238,1642,504,1059,79,104,238,165,383
0100100013242,1798,621,1114,63,108,230,176,383
0100100013257,3824,969,2673,173,278,534,641,978
0100100013261,6850,1545,5080,225,474,1184,1359,1875
0100100013276,5734,1408,4075,245,382,821,919,1485
0100100013280,2737,560,1962,215,171,390,597,710
0100100013295,1470,206,919,345,45,132,359,435
0100100013308,6805,2064,4555,186,555,1118,813,1581
0100100013312,5931,1782,3993,156,530,941,716,1390
0100100013327,5011,1244,3516,251,263,747,664,1206
0100100013331,4775,1441,3224,110,301,686,606,1233
0100100013346,3583,1016,2457,109,247,470,678,957
0100100013350,1333,240,1012,81,115,171,367,343
0100100013365,2849,650,1961,238,121,274,810,832
0100100013399,5055,1482,3437,136,315,852,638,1212
