cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1500500010164,1104,175,762,167,47,111,190,313
1500500010361,951,220,642,89,62,94,145,246
1500500010450,966,201,686,79,49,124,134,245
1500500040215,7929,2094,5447,388,457,991,642,1895
1500500160431,5123,1626,3263,234,322,657,321,1148
1500500180287,3060,876,2050,134,159,385,308,681
1500500320145,9373,2250,6410,576,509,1123,990,2075
1500500320376,1105,271,778,56,67,141,137,256
1500500320484,4222,1177,2915,130,266,501,604,1215
1500500340380,5054,1370,3391,293,277,629,412,1154
1500500350499,3877,1194,2504,179,202,487,244,835
1500500370395,3595,904,2469,222,218,449,306,830
1500500410287,2527,710,1704,113,149,299,261,551
1500500440338,3997,1295,2557,145,237,515,192,923
1500500450342,11746,2340,8964,435,453,1312,550,1796
1500500750323,2615,750,1767,98,168,319,226,614
1500501430501,2632,600,1881,151,137,330,503,751
1500501650516,3227,894,2241,92,230,418,368,897
1500501650520,5636,1638,3856,142,367,651,588,1325
1500501650535,1381,412,942,27,79,131,165,281
1500501650554,918,298,596,22,62,72,98,145
1500501670304,2887,932,1868,84,142,268,382,715
1500501680573,5503,1709,3646,148,275,502,780,1271
1500501680588,2576,779,1710,87,136,267,336,625
1501800010124,5939,1575,3998,366,287,810,554,1262
1501800010139,6044,1561,4036,447,341,726,586,1282
1501800010162,524,180,327,17,42,74,30,106
1501800010177,330,90,227,13,19,48,35,77
1501800010209,201,50,138,13,12,26,18,46
1501800050088,3095,890,2045,160,205,358,295,693
1501800060196,3758,945,2565,236,216,466,392,860
1501800080035,6832,1625,4559,494,372,783,692,1614
1501800100143,3919,1064,2616,239,237,497,375,976
1501800100158,1980,555,1278,147,115,226,196,484
1501800100213,42,9,31,*,*,12,5,9
1501800100228,134,42,88,4,11,23,14,26
1501800110232,2713,597,2010,106,107,190,912,915
1501800110247,2191,486,1600,105,100,161,716,731
1501800360251,3676,1096,2490,76,196,395,483,1152
1501800400266,2639,675,1857,107,132,200,767,760
1502200010042,3549,907,2380,262,201,376,301,884
1502200010057,3466,765,2351,350,173,366,328,881
1502200010061,2767,590,1929,245,138,324,313,738
1502200010076,9,3,5,*,0,0,3,3
1502200010080,82,24,55,3,3,6,8,25
1502200010095,103,29,73,*,5,14,12,26
1502200010108,23,*,18,3,*,4,*,6
1502200010112,291,73,197,21,13,31,30,81
1505100010186,402,122,274,6,28,15,105,93
1505100010241,3364,580,2482,302,136,396,588,896
1505100010256,2394,478,1657,239,90,284,383,676
1505100010260,5692,1288,4089,312,309,654,893,1558
1505100010275,10627,2558,7489,573,561,1167,1731,2940
1505100010453,4307,1145,3016,146,173,291,1268,1237
1505100010468,6380,1724,4403,238,305,792,1053,1612
1505100010472,0,0,0,0,0,0,0,0
1505100070294,2142,572,1414,156,105,258,262,499
1505100080167,2621,731,1691,199,155,327,171,594
1505100120152,3191,914,2095,182,174,386,333,766
1505100170400,3980,1063,2613,299,202,453,307,920
1505100200330,4561,1093,3078,326,237,517,424,1087
1505100200449,41,13,27,*,*,6,*,10
1505100210078,5361,1381,3606,374,276,603,392,1250
1505100220364,2498,636,1671,191,147,314,173,568
1505100230148,3033,828,2022,183,171,362,245,664
1505100240379,3196,842,2190,164,189,438,369,652
1505100240383,6532,1614,4519,394,417,914,682,1362
1505100240398,5288,1260,3662,310,304,751,447,1158
1505100240491,36,6,27,3,*,4,7,11
1505100260307,3287,878,2204,205,187,433,364,768
1505100260311,6176,1502,4179,495,366,749,726,1483
1505100260326,4912,1072,3353,487,278,582,535,1209
1505100260345,1051,224,739,88,46,106,151,280
1505100260434,60,19,38,3,*,3,7,16
1505100270148,3146,776,2105,265,165,386,362,778
1505100280415,3856,1028,2575,253,240,471,321,847
1505100280504,96,24,68,4,6,11,*,23
1505100300148,2522,724,1642,156,177,280,179,552
1505100860487,7240,1813,5254,167,280,646,2021,2245
1505100890152,4975,1392,3381,202,307,610,477,1158
1505100920152,2806,820,1875,111,201,374,247,610
1505400010258,3329,679,2366,283,160,411,563,826
1505400010281,1352,295,958,99,66,151,208,377
1505400010332,1040,178,733,129,47,108,258,297
1505400010351,663,139,480,44,33,76,165,178
1505400010510,1141,180,868,93,58,135,299,333
1505400010563,3231,628,2238,326,151,366,417,791
1505400010578,3378,615,2404,359,150,397,437,822
1505400010703,174,40,119,15,10,16,17,36
1505400010718,1409,293,1007,109,42,160,278,452
1505400010722,6482,1377,4511,593,298,762,895,1396
1505400010737,8004,1753,5548,703,376,891,1206,1977
1505400320031,8091,2087,5428,550,447,975,670,1765
1505400320760,1437,433,944,60,82,170,91,308
1505400320794,3255,750,2383,122,183,311,933,956
1505400340826,5027,863,3620,544,188,519,1131,1476
1505400340830,3242,534,2279,429,122,384,637,851
1505400340845,1345,179,919,247,59,159,226,346
1505400340864,1653,241,1084,328,62,170,274,430
1505400340879,4933,719,3712,502,178,576,1366,1346
1505400340883,2716,386,2015,315,111,322,861,847
1505400340898,2523,489,1856,177,132,279,525,666
1505400340900,1021,110,607,304,39,53,361,311
1505400350402,828,232,539,57,44,108,87,173
1505400350417,1260,343,855,62,82,172,124,267
1505400350633,2796,734,1904,158,138,345,300,633
1505400350648,4006,1037,2713,252,227,462,413,902
1505400350811,2111,582,1424,105,144,303,251,461
1505400370915,4699,836,3187,654,195,481,948,1216
1505400370934,4540,847,3055,632,198,464,867,1164
1505400370949,1608,345,1173,90,82,144,210,418
1505400370953,1639,273,1168,198,81,165,279,396
1505400370968,3990,846,2835,309,184,442,703,958
1505400370972,3553,737,2539,277,160,425,580,873
1505400370987,3429,810,2389,230,182,374,640,872
1505400370991,3240,863,2225,151,163,406,388,753
1505400381006,2972,388,2258,326,121,355,689,896
1505400381010,2062,272,1467,323,67,187,562,645
1505400381025,2594,473,1905,214,109,301,588,801
1505400381044,1279,202,799,273,52,126,255,375
1505400381059,2497,433,1779,285,112,280,555,712
1505400381063,1241,194,805,236,52,82,290,383
1505400381078,1163,156,791,216,43,93,301,370
1505400381082,4235,873,3031,318,163,476,855,1270
1505400381097,3789,901,2669,219,218,501,605,832
1505400410756,4140,909,2886,339,225,493,642,968
1505400430741,5042,1339,3360,343,280,555,531,1095
1505400431256,1087,332,715,40,79,127,117,261
1505400470652,4086,891,2882,313,218,476,474,1002
1505400470667,5064,1246,3465,328,247,625,560,1227
1505400491114,3635,723,2583,326,167,367,505,981
1505400491129,1924,298,1359,267,78,175,436,597
1505400491133,2861,410,1856,593,107,272,659,828
1505400491148,1690,241,1092,357,52,142,412,515
