cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1900600000000,656464,165677,466977,23584,34196,82205,121188,175422
1900600010000,536436,130273,384606,21338,28325,69624,98013,144484
1900600010013,0,0,0,0,0,0,0,*
1900600010032,146,37,109,0,3,15,36,47
1900600010051,2244,457,1514,269,109,245,348,628
1900600010066,694,105,446,142,23,69,135,207
1900600010070,1358,206,956,196,59,173,245,406
1900600010085,699,82,484,133,25,84,147,213
190060001009A,678,112,445,121,33,65,118,177
1900600010102,1295,169,885,240,54,168,225,341
1900600010117,5012,1032,3342,637,212,598,583,1420
1900600010136,0,0,0,0,0,0,0,0
1900600010140,0,0,0,0,0,0,0,0
1900600010174,4244,1137,2986,121,266,470,985,1174
1900600010189,0,0,0,0,0,0,0,0
1900600010206,6646,1714,4628,304,240,589,1579,1934
1900600010210,0,0,0,0,0,0,0,0
1900600010225,1,*,*,*,*,*,*,*
1900600010244,90,19,60,11,5,13,8,19
1900600010259,3329,845,2407,77,172,346,889,960
1900600010278,486,138,337,11,26,43,120,137
1900600010297,5850,1196,4493,161,355,1152,862,1471
190060001030A,4134,1137,2890,106,258,573,723,1095
1900600010348,7877,1916,5537,424,349,947,1721,2143
1900600010352,1017,220,695,98,48,81,251,350
1900600010367,469,123,315,31,16,44,58,122
1900600010386,4231,858,3028,295,183,482,580,1244
1900600010403,4726,861,3370,486,190,500,753,1346
1900600010422,5829,1453,3968,401,277,750,504,1330
1900600010437,4597,1136,3163,283,232,595,458,1131
1900600010460,4909,966,3341,599,187,499,669,1332
1900600010475,4729,1023,3181,525,231,546,524,1251
1900600010507,1376,241,1039,96,72,210,374,346
1900600010511,1130,231,835,64,80,150,241,285
1900600010526,426,71,318,37,11,49,72,132
1900600010530,0,0,0,0,0,0,0,0
190060001055A,4579,900,3414,260,168,572,708,1232
1900600010564,6300,1498,4418,381,309,892,575,1507
1900600010583,4964,1061,3696,207,193,609,1073,1373
1900600010598,5332,977,4187,166,236,967,875,1416
1900600010668,4584,967,3349,264,212,705,779,1272
1900600010672,4198,759,3246,193,195,680,777,1189
1900600010687,855,221,612,22,40,87,241,246
1900600010719,7338,1677,5262,365,316,1082,792,1758
1900600010723,5109,936,3472,701,195,593,761,1459
1900600010757,3743,713,2867,162,157,551,717,1052
1900600010761,4978,1179,3509,288,200,715,444,1142
1900600010776,4359,1075,3076,208,201,672,406,952
1900600010780,3755,843,2717,195,174,535,564,972
1900600010795,5270,1194,3856,220,262,735,870,1396
1900600010808,3443,758,2490,195,161,473,478,877
1900600010827,740,201,517,22,40,93,147,196
1900600010831,1744,462,1247,34,117,253,244,420
1900600010850,5944,1915,3945,84,244,521,1396,1572
1900600010865,3959,874,2986,99,209,604,814,1117
190060001087A,7410,1622,5446,341,385,1071,1127,1987
1900600010884,6173,1416,4479,278,338,904,902,1617
1900600010901,5314,1100,3980,233,265,826,813,1399
1900600010920,5729,870,4583,273,322,1044,1369,1690
1900600010935,2182,462,1641,79,72,275,506,619
190060001094A,4,*,*,*,*,*,*,*
1900600010954,0,0,0,0,0,0,0,0
1900600010969,0,0,0,0,0,0,0,0
1900600010973,0,0,0,0,0,0,0,0
1900600010988,0,0,0,0,0,0,0,0
1900600010992,0,0,0,0,0,0,0,0
1900600011007,779,234,527,18,28,54,237,227
1900600011011,0,0,0,0,0,0,0,0
1900600011026,0,0,0,0,0,0,0,0
1900600011030,3000,846,2081,72,139,264,864,842
1900600011045,4680,941,3519,220,193,738,763,1253
190060001105A,6427,1303,4839,280,253,945,880,1636
1900600011064,4513,863,3487,163,170,645,762,1197
1900600011083,4142,974,2908,260,186,494,515,1016
1900600011098,5772,1245,4325,202,258,794,1002,1581
1900600011115,1717,334,1346,37,94,306,252,432
190060001112A,1787,311,1406,70,104,359,297,486
1900600011149,1140,251,844,45,72,183,213,293
1900600011172,2001,478,1450,73,145,293,334,503
1900600011187,3999,778,3114,107,275,743,684,1061
1900600011204,2396,502,1849,44,131,433,337,616
1900600011219,3829,916,2832,81,283,643,588,945
1900600011223,4306,1075,3120,111,225,556,908,1081
1900600011238,2315,564,1666,85,153,304,545,630
1900600011242,4891,958,3758,175,311,867,878,1285
1900600011257,4705,1052,3576,77,346,834,773,1247
1900600011261,2980,619,2268,93,227,470,662,779
1900600011276,6652,1494,4966,192,436,1043,1411,1808
1900600011280,2940,603,2237,100,190,450,635,836
1900600011295,2469,432,1952,81,146,456,449,669
1900600011308,3122,703,2332,87,195,509,545,833
1900600011312,3013,593,2265,155,147,392,561,861
1900600011327,3434,705,2586,141,163,416,801,996
1900600011331,3747,780,2726,241,172,485,512,936
1900600011346,4178,1115,2958,96,206,460,997,1167
1900600011350,3323,695,2477,151,157,411,630,940
1900600011365,3259,760,2384,115,177,426,774,891
190060001137A,2748,561,1820,367,101,287,309,724
1900600011384,3359,665,2519,172,158,413,640,987
