cve_ageb,IM_2020,IRS_2020
0100100010017,119.325886119644,2
010010001006A,125.820757253117,0
0100100010106,125.749891104166,0
0100100010163,125.074121702234,1
0100100010182,126.020458037386,0
0100100010229,123.608219064388,0
0100100010233,120.645724609767,1
0100100010286,124.811750643578,0
0100100010290,125.053211354801,0
0100100010303,123.791509545569,1
0100100010322,122.096067045609,1
0100100010337,121.046891007365,1
0100100010341,122.487689791548,1
0100100010356,123.676878670031,1
0100100010360,122.160877306326,1
0100100010375,122.714015972628,1
010010001038A,121.624671137572,1
0100100010407,125.509994907379,0
0100100010411,120.698558133731,2
0100100010426,120.331470521404,2
0100100010430,121.075835468392,2
0100100010445,120.649078716754,2
010010001045A,121.106322985108,2
0100100010464,124.514954603793,0
0100100010483,122.12465751623,1
0100100010498,119.719831324273,1
0100100010500,119.820158131662,1
0100100010515,121.471274279143,1
010010001052A,123.621252526582,1
0100100010534,123.431019752787,1
0100100010549,123.879629867864,1
0100100010553,122.812048250787,1
0100100010568,121.929003813534,1
0100100010572,122.825686582029,1
0100100010587,121.748453690331,1
0100100010591,122.682398574277,1
0100100010604,122.760578755783,1
0100100010619,123.247738074048,1
0100100010623,123.696684846365,0
0100100010638,123.68068223199,0
0100100010642,124.309438145307,0
0100100010657,122.711159266669,1
0100100010676,125.17543761074,0
0100100010680,124.51920359952,0
0100100010695,123.742972348161,0
0100100010708,123.267235307564,1
0100100010712,123.402509126097,1
0100100010727,121.398843417098,1
0100100010731,122.516912877617,1
0100100010746,124.181797408292,1
010010001077A,123.460466313258,1
0100100010784,123.020913316133,1
0100100010799,122.824521434866,1
0100100010801,123.804131814247,1
0100100010816,122.796690578182,1
0100100010820,123.951700116089,1
0100100010835,123.84564000292,0
010010001084A,123.249600520464,0
0100100010854,122.396695679456,1
0100100010869,124.48668539181,0
0100100010873,123.619426536882,1
0100100010888,122.838652505234,0
0100100010892,121.923718745761,1
0100100010905,122.76488635596,1
010010001091A,123.818046040909,1
0100100010939,122.800348984199,0
0100100010962,121.336612613922,1
0100100010977,122.927106442798,1
0100100010996,126.118614747583,0
0100100011000,125.263864487224,1
0100100011034,119.973980252164,2
0100100011091,124.090409120248,1
0100100011161,122.934408357513,2
0100100011195,126.269926671539,0
0100100011208,125.803113138893,0
0100100011227,126.417075165192,0
0100100011265,122.368768463817,2
0100100011299,126.202884599489,0
0100100011316,121.861094330264,1
0100100011320,121.312818834317,1
010010001134A,126.195521992206,0
0100100011354,124.445562802415,0
0100100011373,123.009358370754,1
0100100011392,120.601481817506,2
0100100011405,119.521067647164,2
0100100011424,,2
0100100011439,122.809643391149,1
0100100011458,123.20450194289,1
0100100011462,122.19158767006,1
0100100011477,126.267755390171,0
0100100011481,,2
0100100011509,122.856321154387,1
0100100011528,124.227024883702,1
0100100011547,123.287516479058,1
0100100011551,126.2886575161,0
010010001159A,125.780275458404,0
0100100011636,125.30382409246,0
0100100011674,122.035099935158,1
0100100011689,122.736363176086,1
0100100011693,124.328389874206,1
0100100011710,120.473873290541,2
0100100011744,121.545942349454,2
0100100011956,126.389512682297,0
0100100011960,125.33218612178,0
0100100011975,123.853582613394,0
010010001198A,124.57843226989,0
0100100011994,125.314418701127,0
0100100012009,123.436659327255,1
0100100012013,125.0377111647,0
0100100012028,124.983666188963,0
0100100012032,122.796065081728,1
0100100012047,121.590637415143,1
0100100012051,120.342007053981,1
0100100012066,120.3721508529,1
0100100012070,123.849472954087,0
0100100012085,124.847805540365,0
010010001209A,123.430285000958,0
0100100012102,125.678396805267,0
0100100012117,124.054870778466,1
0100100012121,120.631429120323,2
0100100012136,123.869755957616,1
0100100012140,120.740892657219,2
0100100012155,119.418684326664,2
010010001216A,124.22031940623,1
0100100012174,121.346635556193,1
0100100012189,122.490956720947,1
0100100012193,119.600866877628,2
0100100012206,120.481020575189,2
