cve_ageb,IM_2020,IRS_2020
1500100010127,121.221220479952,1
1500100010220,121.717303730071,1
1500100010235,120.749642085716,1
1500100010254,119.879733872156,2
1500100010269,122.938345645271,1
1500100010273,120.909407311071,1
1500100010288,120.978630619742,1
1500100010324,124.035245777681,0
1500100010339,120.634989596368,2
1500100010343,120.899066440633,1
1500100370305,105.009327605564,4
150010037031A,105.017666438847,4
1500200010228,121.653308500047,1
1500200010232,121.324126643131,1
150020001050A,121.413086364943,2
1500200010514,,4
1500200050177,119.713087202143,2
150020008036A,116.496831199869,2
1500200080374,116.952661803839,3
1500200080389,115.923923562594,2
150020008068A,106.324082377387,3
1500200110656,121.458869647418,2
1500200110660,121.136718631006,2
1500200120181,120.524990625672,2
1500200120694,120.944668396243,1
1500200150069,110.728825951288,3
1500200150073,119.233112364277,2
1500200150088,119.392300079818,2
1500200150105,121.810833717707,2
150020015011A,122.019698839983,2
1500200150124,120.483724459339,2
1500200150143,119.197004388469,2
1500200150158,119.121635081637,2
1500200150196,119.867143648129,2
1500200150247,121.212607055148,2
1500200150251,121.216589386103,2
1500200150266,120.574466893212,2
1500200150270,121.888164425981,2
1500200150285,121.964942664819,1
150020015029A,121.378700724427,1
1500200150336,120.832670581052,1
1500200150340,121.644758672777,1
1500200150355,120.156723953877,2
1500200150410,120.241874152644,2
1500200150425,116.497669944438,3
150020015043A,114.869593687572,2
1500200150444,117.654995016229,2
1500200150459,122.701207463632,1
1500200150463,121.810197174158,1
1500200150478,121.347584855227,1
1500200150482,121.506943459235,1
1500200150497,121.580008261154,1
1500200150533,115.59498138579,2
1500200150548,117.646418183673,2
1500200150552,116.966981064271,2
1500200150567,112.384315799998,2
1500200150571,113.94312264538,2
1500200150586,112.570455465796,2
1500200150590,113.60024918966,2
1500200150603,116.444981086754,2
1500200150618,116.690091567278,2
1500200150622,116.101752281703,2
1500200150637,114.16805057931,2
1500200150641,112.735553774369,2
1500200150675,,4
1500200160162,121.950471021023,2
1500200160209,117.631228926732,2
1500200160529,119.841342792045,2
1500200690016,121.22006320156,1
1500300010117,121.493560472654,1
1500300240225,104.651557631226,4
1500400010044,120.605840356484,2
1500500010164,122.407291542779,1
1500500010361,121.538421856048,1
1500500010450,121.344823531526,1
1500500040215,116.054612270583,3
1500500160431,113.334898032567,3
1500500320145,119.077937858896,2
150050032015A,119.296217088661,2
1500500320376,119.982169498789,1
150050032047A,,2
1500500320484,122.42140480094,1
1500500340380,114.632804471488,3
1500500350499,112.103096346997,3
1500500370395,117.079266184861,3
1500500450342,116.217658556854,3
1500501430501,123.074910106637,1
1500501650516,121.758516622318,2
1500501650520,121.34912415677,2
1500501650535,123.185366176522,1
150050165054A,122.793240457779,1
1500501650554,122.424450453386,1
1500501680573,121.355692430336,1
1500501680588,119.772846193636,1
1500600010049,118.666988767654,2
1500600010053,119.925682663882,2
1500600010068,118.282285155774,2
1500600010072,119.135840179829,2
1500700010046,120.187492548626,2
1500800010081,123.604404109134,1
1500800270151,119.590464208597,2
1500800270166,121.323199474549,2
1500800270170,119.159309868763,2
1500800270185,,2
150080027019A,118.409342144678,3
1500800270202,,3
1500800270217,,3
1500900010036,121.565363902396,1
1500900010040,118.315883280918,2
150090001006A,118.22668277105,2
1500900010093,116.207389109667,2
1500900010125,119.116172464205,2
1500900010144,119.705286484008,1
1500900010159,116.307226695703,2
1500900010252,118.373147952752,1
1500900010267,114.287691369333,3
1500900030017,120.41585665627,2
1500900030021,118.499772667707,2
1500900050233,119.706328846426,2
1500900060106,116.430823360536,3
