cve_ageb,IM_2020,GM_2020,IRS_2020,GRS_2020
1400100010067,117.8960752,Alto,9.0909090909,Medio
1400100010071,119.1242371,Medio,10.3235747304,Medio
1400100010103,117.0170276,Alto,13.2616487455,Medio
1400100010118,118.5593254,Alto,11.7924528302,Medio
1400100010122,119.1369004,Medio,8.8495575221,Medio
1400100010137,120.2046546,Medio,6.1224489796,Medio
1400100010141,120.8208468,Medio,3.2258064516,Bajo
1400100010160,119.6011603,Medio,14.2857142857,Medio
1400100010194,118.9655991,Medio,7.7738515901,Medio
1400100010207,119.6933711,Medio,6.2314540059,Medio
1400100010211,118.3987036,Alto,7.4193548387,Medio
1400100010226,117.6127945,Alto,10.0,Medio
140010001025A,121.4193749,Bajo,0.0,Bajo
1400100010283,120.4537943,Medio,3.125,Medio
1400100010315,120.1150185,Medio,5.5555555556,Medio
1400100540033,118.8894755,Medio,6.3829787234,Medio
140010054032A,119.8324647,Medio,6.8783068783,Medio
1400200010030,122.0317858,Bajo,12.7906976744,Bajo
1400200010064,121.8264391,Bajo,16.0484481453,Medio
1400200010079,122.4908924,Bajo,12.2302158273,Bajo
1400200010083,121.7829461,Bajo,2.7777777778,Bajo
1400200010115,122.3395147,Bajo,19.1176470588,Medio
140020001012A,124.2682616,Muy bajo,9.2,Bajo
1400200010191,121.0520973,Medio,9.5238095238,Medio
1400200010280,122.9551909,Bajo,15.3846153846,Medio
1400200020045,121.302354,Bajo,15.829787234,Medio
140020002005A,121.8992637,Bajo,16.4429530201,Bajo
1400200020100,120.5499007,Medio,21.2121212121,Medio
1400200020153,119.2299745,Medio,26.5957446809,Medio
1400200020204,124.4656668,Muy bajo,17.6470588235,Bajo
1400200020223,120.2731381,Medio,23.8095238095,Medio
1400200020261,117.2627231,Alto,15.0,Medio
1400200040187,120.5567227,Medio,20.1995012469,Medio
1400300010061,120.2419969,Medio,19.4444444444,Medio
1400300010076,123.5153742,Bajo,11.9402985075,Bajo
1400300010080,120.6363494,Medio,25.3012048193,Medio
1400300010095,122.1678999,Bajo,13.9737991266,Medio
1400300010108,121.995017,Bajo,14.4242424242,Bajo
1400300010112,121.5950728,Bajo,12.5132555673,Bajo
1400300010127,122.0958288,Bajo,13.1855309218,Bajo
1400300010131,122.8385744,Bajo,10.1910828025,Bajo
1400300010146,123.7730901,Muy bajo,11.724137931,Bajo
1400300010165,117.5733978,Alto,29.8507462687,Medio
140030001017A,122.6225263,Bajo,30.7692307692,Medio
1400300010199,118.850253,Medio,34.8214285714,Medio
1400300380235,119.9782507,Medio,13.202247191,Medio
140030038024A,120.5238851,Medio,16.2895927602,Medio
1400300380254,121.1719214,Bajo,13.4146341463,Medio
140040001004A,118.311833,Alto,12.7218934911,Medio
1400400010054,120.1346788,Medio,15.8,Medio
1400400010073,121.8326706,Bajo,4.5454545455,Bajo
1400500010047,119.6322243,Medio,14.0127388535,Medio
1400500010051,121.5684009,Bajo,11.1969111969,Bajo
1400500010066,120.3356586,Medio,13.1666666667,Medio
1400500010070,121.3289983,Bajo,9.4867807154,Bajo
1400500010085,121.7832359,Bajo,13.0242825607,Bajo
140050001009A,120.3592469,Medio,7.3417721519,Medio
1400500010102,121.2379018,Bajo,10.4651162791,Medio
1400500010136,121.6352422,Bajo,3.5087719298,Bajo
1400500010140,123.5100794,Bajo,16.2790697674,Medio
140050001016A,124.3222551,Muy bajo,0.0,Muy bajo
1400500010174,121.4145763,Bajo,6.8965517241,Bajo
1400600010186,121.3796886,Bajo,11.6304347826,Bajo
1400600010190,121.4681205,Bajo,15.1162790698,Bajo
1400600010203,120.8753707,Medio,15.0170648464,Bajo
1400600010218,122.5899799,Bajo,11.7196056955,Bajo
1400600010222,121.2211483,Bajo,15.8333333333,Medio
1400600010237,121.7894329,Bajo,17.1914893617,Bajo
1400600010241,124.686995,Muy bajo,8.7557603687,Muy bajo
1400600010256,121.6874654,Bajo,12.5333333333,Bajo
140060001028A,123.1837714,Bajo,9.1603053435,Bajo
1400600010294,120.8260142,Medio,16.2895927602,Bajo
1400600010307,120.8656594,Medio,19.5652173913,Medio
1400600010311,122.3478707,Bajo,9.0909090909,Bajo
1400600010326,121.6255378,Bajo,14.6186440678,Bajo
