cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
01,001,0001,0233,115119,11 a 30 personas
01,001,0253,1759,112519,6 a 10 personas
01,005,0015,004A,114119,0 a 5 personas
01,005,0015,004A,114119,0 a 5 personas
01,001,0980,1138,115210,0 a 5 personas
01,001,0001,1265,115111,0 a 5 personas
01,001,0001,0515,115111,0 a 5 personas
01,001,0980,1138,115210,0 a 5 personas
01,001,0001,0549,115111,0 a 5 personas
01,011,0021,009A,115210,0 a 5 personas
01,001,0001,255A,115111,0 a 5 personas
01,001,0001,3098,115111,6 a 10 personas
01,011,0110,0085,112515,0 a 5 personas
01,005,0311,0054,112515,0 a 5 personas
01,001,0001,077A,115111,0 a 5 personas
01,001,0001,2403,115113,0 a 5 personas
01,001,0139,1180,114119,0 a 5 personas
01,001,0001,1975,115113,0 a 5 personas
01,005,0015,004A,114119,0 a 5 personas
01,005,0015,004A,114119,0 a 5 personas
01,005,0015,004A,114119,0 a 5 personas
01,005,0015,004A,114119,0 a 5 personas
01,005,0015,004A,114119,0 a 5 personas
01,001,0139,1180,114119,0 a 5 personas
01,001,0139,1180,114119,0 a 5 personas
01,001,0001,0962,112515,0 a 5 personas
01,001,0001,2028,112515,0 a 5 personas
01,001,0001,1458,115111,0 a 5 personas
01,001,0138,1176,114119,0 a 5 personas
01,001,0127,1068,114119,6 a 10 personas
01,001,2399,127A,114119,6 a 10 personas
01,001,0907,1941,212319,6 a 10 personas
01,001,0001,2085,212221,11 a 30 personas
01,001,0001,0290,212321,11 a 30 personas
01,011,0151,009A,213119,251 y más personas
01,005,0506,0016,213119,11 a 30 personas
01,005,0506,0016,213119,51 a 100 personas
01,001,0001,3736,213119,6 a 10 personas
01,005,0001,0020,221312,0 a 5 personas
01,005,0507,0035,221312,0 a 5 personas
01,001,0001,0638,221123,6 a 10 personas
01,001,0001,0356,221123,6 a 10 personas
01,001,0001,0286,221123,0 a 5 personas
01,001,0001,0869,221123,6 a 10 personas
01,001,0001,0286,221123,0 a 5 personas
01,001,0001,0356,221111,0 a 5 personas
01,005,0001,0548,221312,101 a 250 personas
01,001,0001,3295,221312,251 y más personas
01,005,0001,0020,221312,0 a 5 personas
01,001,0001,3115,221210,11 a 30 personas
01,001,0001,2719,221312,0 a 5 personas
01,001,0001,0869,221312,11 a 30 personas
01,001,0001,2367,221312,6 a 10 personas
01,001,0001,2526,221312,0 a 5 personas
01,001,0001,0784,221312,251 y más personas
01,001,0001,2954,221312,0 a 5 personas
01,001,0479,2742,221312,0 a 5 personas
01,001,0001,0229,221312,6 a 10 personas
01,001,0001,0784,221312,101 a 250 personas
01,001,0001,0229,221123,0 a 5 personas
01,001,0001,3261,221123,0 a 5 personas
01,001,0001,2719,221123,0 a 5 personas
01,001,0001,4081,221123,0 a 5 personas
01,001,0001,1354,221311,6 a 10 personas
01,011,0138,0210,221312,0 a 5 personas
01,011,0052,016A,221312,0 a 5 personas
01,011,0001,0013,221312,51 a 100 personas
01,001,0293,3929,221312,0 a 5 personas
01,001,0001,2348,221312,6 a 10 personas
01,005,0001,068A,221312,0 a 5 personas
01,001,0357,4170,221312,0 a 5 personas
01,001,0001,3596,221312,0 a 5 personas
01,001,0001,4749,221312,0 a 5 personas
01,001,0001,4109,221312,0 a 5 personas
01,001,0001,3191,221312,0 a 5 personas
01,005,0427,0444,221312,0 a 5 personas
01,011,0052,0189,221312,0 a 5 personas
01,001,0001,2174,221312,0 a 5 personas
01,001,0639,127A,221114,6 a 10 personas
01,001,0001,3172,221121,11 a 30 personas
01,001,0001,0549,221121,51 a 100 personas
01,001,0001,3219,221312,0 a 5 personas
01,001,0001,3295,221311,51 a 100 personas
01,001,0001,0229,221311,0 a 5 personas
01,001,0001,0286,221311,6 a 10 personas
01,001,0001,0869,221311,6 a 10 personas
01,001,0001,1458,221311,51 a 100 personas
01,001,0001,0708,221311,6 a 10 personas
01,001,0001,2259,221111,6 a 10 personas
01,001,0001,2371,236111,11 a 30 personas
01,001,0001,4359,238210,6 a 10 personas
01,001,0001,159A,238210,6 a 10 personas
01,001,0001,2102,236111,0 a 5 personas
01,001,0001,0869,238210,11 a 30 personas
01,001,0001,1975,238210,0 a 5 personas
01,001,0001,2386,238320,6 a 10 personas
01,001,0001,0801,238311,0 a 5 personas
01,001,0001,0657,238990,0 a 5 personas
01,001,0001,3295,236112,0 a 5 personas
01,001,0001,0820,237312,31 a 50 personas
01,001,0001,4560,238910,0 a 5 personas
01,005,0427,0459,238222,31 a 50 personas
01,001,7049,1763,238210,11 a 30 personas
01,001,1025,3952,236111,0 a 5 personas
01,001,0001,2102,238190,0 a 5 personas
01,001,0001,2511,236211,11 a 30 personas
01,001,0001,3153,236111,11 a 30 personas
01,005,0001,0374,238190,11 a 30 personas
01,001,0001,091A,236221,0 a 5 personas
01,001,0001,0731,237212,6 a 10 personas
01,001,0106,1763,236111,11 a 30 personas
01,001,1025,3952,236111,11 a 30 personas
