codigo_act,per_ocu,cve_ent,cve_mun,cve_loc,ageb
115310,11 a 30 personas,19,039,0001,4106
115210,0 a 5 personas,19,039,0001,0974
115210,6 a 10 personas,19,026,0001,2239
115119,0 a 5 personas,19,039,0001,1385
115210,0 a 5 personas,19,049,0001,0256
115113,0 a 5 personas,19,046,0001,1661
115113,51 a 100 personas,19,046,0001,0659
115119,31 a 50 personas,19,039,0001,4939
112512,6 a 10 personas,19,006,0001,1399
112512,6 a 10 personas,19,049,0037,0400
115119,31 a 50 personas,19,039,0001,071A
115113,0 a 5 personas,19,039,0001,1385
115111,0 a 5 personas,19,039,0001,2190
115113,11 a 30 personas,19,010,0001,0054
115210,0 a 5 personas,19,039,0001,1239
115111,0 a 5 personas,19,039,0001,1559
115119,11 a 30 personas,19,046,0001,1144
114119,0 a 5 personas,19,026,0001,1118
115113,0 a 5 personas,19,039,0001,071A
115111,0 a 5 personas,19,021,0001,1785
112512,0 a 5 personas,19,031,0115,0228
112512,0 a 5 personas,19,049,0186,0400
115111,6 a 10 personas,19,021,0001,0378
115111,6 a 10 personas,19,006,0388,2382
212312,6 a 10 personas,19,039,0001,406A
212321,101 a 250 personas,19,021,7211,0842
212319,11 a 30 personas,19,021,7209,0842
212321,0 a 5 personas,19,021,7209,0842
212321,0 a 5 personas,19,018,0242,0048
212232,11 a 30 personas,19,019,0001,0098
213119,0 a 5 personas,19,019,0001,0098
212311,51 a 100 personas,19,039,0001,1652
212311,101 a 250 personas,19,039,0001,5142
212232,0 a 5 personas,19,019,0001,0223
212391,11 a 30 personas,19,018,0243,0048
212399,11 a 30 personas,19,039,0001,146A
212110,6 a 10 personas,19,021,0001,1944
212324,11 a 30 personas,19,006,0001,0225
212323,51 a 100 personas,19,039,0001,4144
212324,11 a 30 personas,19,031,0329,0209
212324,6 a 10 personas,19,048,0001,0282
212324,11 a 30 personas,19,039,0001,1633
212311,11 a 30 personas,19,039,0001,5142
212311,51 a 100 personas,19,039,0001,1722
212110,11 a 30 personas,19,039,0001,1436
212395,0 a 5 personas,19,046,0001,1676
213119,6 a 10 personas,19,019,0001,0399
212321,51 a 100 personas,19,048,7016,0653
213111,51 a 100 personas,19,039,0001,1652
212311,51 a 100 personas,19,048,0001,1469
212398,11 a 30 personas,19,026,0001,0143
213119,11 a 30 personas,19,019,0001,0399
212311,101 a 250 personas,19,021,7211,0842
212311,51 a 100 personas,19,048,0167,0653
212311,31 a 50 personas,19,049,0253,035A
212392,0 a 5 personas,19,010,0134,0016
212392,0 a 5 personas,19,010,0118,0016
212232,0 a 5 personas,19,039,0001,3714
221311,51 a 100 personas,19,021,0001,0522
221312,0 a 5 personas,19,039,0001,1455
221312,11 a 30 personas,19,018,0001,0122
221312,11 a 30 personas,19,039,0001,4144
221312,101 a 250 personas,19,006,0001,1276
221113,0 a 5 personas,19,039,0001,114A
221311,6 a 10 personas,19,049,0001,0148
221113,0 a 5 personas,19,019,0001,0399
221113,0 a 5 personas,19,019,0001,0399
221119,11 a 30 personas,19,039,0001,1741
221311,0 a 5 personas,19,048,0001,0329
221111,11 a 30 personas,19,006,0001,2359
221311,0 a 5 personas,19,039,0001,1826
221111,0 a 5 personas,19,039,0001,1987
221111,11 a 30 personas,19,046,0001,0555
221111,11 a 30 personas,19,039,0001,1629
221111,31 a 50 personas,19,046,0001,0610
221111,0 a 5 personas,19,042,0001,0151
