cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
15,062,0022,0283,112515,6 a 10 personas
15,106,0001,2074,115210,6 a 10 personas
15,106,0092,4070,115111,0 a 5 personas
15,005,0146,0291,112515,0 a 5 personas
15,018,0034,0088,112515,6 a 10 personas
15,005,0156,0249,114119,11 a 30 personas
15,054,0037,0987,115111,0 a 5 personas
15,062,0050,0156,112515,0 a 5 personas
15,062,0048,0156,112515,0 a 5 personas
15,062,0050,0156,112515,0 a 5 personas
15,062,0048,0156,112515,0 a 5 personas
15,062,0022,0160,112515,0 a 5 personas
15,062,0011,0103,115113,11 a 30 personas
15,087,0046,009A,112515,0 a 5 personas
15,062,0050,0156,112515,0 a 5 personas
15,062,0058,0103,112515,0 a 5 personas
15,062,0058,0103,112515,0 a 5 personas
15,062,0058,0103,112515,0 a 5 personas
15,062,0058,0103,112515,0 a 5 personas
15,062,0058,0103,112516,0 a 5 personas
15,087,0054,009A,112515,6 a 10 personas
15,090,0025,0108,112515,0 a 5 personas
15,106,0238,3443,115113,31 a 50 personas
15,106,0070,1786,115113,0 a 5 personas
15,072,0001,0097,115113,0 a 5 personas
15,072,0001,0059,115113,0 a 5 personas
15,062,0048,0156,112519,0 a 5 personas
15,018,0010,0143,115119,0 a 5 personas
15,076,0001,0310,115210,0 a 5 personas
15,005,0156,0249,114119,0 a 5 personas
15,076,0001,0310,115113,0 a 5 personas
15,087,0055,009A,112515,6 a 10 personas
15,051,0033,0171,115210,11 a 30 personas
15,062,0050,0156,112515,6 a 10 personas
15,115,0005,0062,112515,0 a 5 personas
15,087,0055,009A,112515,6 a 10 personas
15,118,0096,0191,112515,6 a 10 personas
15,090,0055,0112,112515,0 a 5 personas
15,090,0025,0108,112515,0 a 5 personas
15,087,0046,009A,112515,6 a 10 personas
15,062,0022,0283,112515,0 a 5 personas
15,062,0050,0156,112515,0 a 5 personas
15,018,0016,0088,212321,0 a 5 personas
15,072,0005,003A,212321,6 a 10 personas
15,106,0127,220A,212319,11 a 30 personas
15,106,0069,131A,212319,0 a 5 personas
15,118,0075,0420,212321,6 a 10 personas
15,054,0034,0879,213119,31 a 50 personas
15,106,0144,131A,212319,0 a 5 personas
15,106,0145,1288,212319,0 a 5 personas
15,106,0092,4051,212321,0 a 5 personas
15,018,0001,0177,212321,0 a 5 personas
15,106,0127,220A,212319,0 a 5 personas
15,089,0043,0037,212322,6 a 10 personas
15,090,0053,0112,212319,51 a 100 personas
15,018,0015,0088,212321,0 a 5 personas
15,118,0075,0420,212321,11 a 30 personas
15,018,0034,0088,212321,6 a 10 personas
15,018,0034,0088,212321,11 a 30 personas
15,051,0028,0415,212321,11 a 30 personas
15,089,0031,0037,212321,11 a 30 personas
15,005,0035,0499,212321,0 a 5 personas
15,106,0083,3918,212319,11 a 30 personas
15,106,0080,3886,221311,11 a 30 personas
15,072,0001,0059,221312,6 a 10 personas
15,106,0001,0523,221312,11 a 30 personas
15,106,0235,4507,221312,6 a 10 personas
15,106,0087,3975,221122,0 a 5 personas
15,054,0052,078A,221312,0 a 5 personas
15,106,0001,0491,221122,11 a 30 personas
15,090,0001,0150,221123,0 a 5 personas
15,106,0001,1979,221123,6 a 10 personas
15,106,0001,0415,221123,6 a 10 personas
15,106,0001,3227,221123,51 a 100 personas
15,106,0238,3443,221123,0 a 5 personas
15,054,0034,0883,221312,0 a 5 personas
15,054,0034,0883,221312,0 a 5 personas
15,076,0001,040A,221312,11 a 30 personas
15,051,0024,0379,221312,0 a 5 personas
15,051,0001,0186,221312,0 a 5 personas
15,106,0001,0595,221312,0 a 5 personas
15,051,0001,0186,221312,0 a 5 personas
15,051,0024,0379,221312,0 a 5 personas
15,076,0001,040A,221312,11 a 30 personas
15,051,0024,0379,221312,0 a 5 personas
15,051,0024,0379,221312,0 a 5 personas
15,051,0001,0241,221312,0 a 5 personas
15,106,0046,4850,221123,6 a 10 personas
15,054,0038,1097,221123,0 a 5 personas
15,054,0037,0991,221123,6 a 10 personas
