ageb_id,label,stratum,stops_400m,stops_800m,employment_proxy,accessibility_quartile,employment_quartile,label_str
1407000200789,1,existing_station,23,62,20.0,1,1,suitable
1412000015177,1,existing_station,6,36,20.0,1,1,suitable
1412000013081,1,existing_station,32,97,20.0,2,1,suitable
1412000014323,1,existing_station,34,70,20.0,2,1,suitable
1405100010105,1,existing_station,9,18,20.0,1,1,suitable
1407000430806,1,existing_station,9,12,20.0,1,1,suitable
1412000016071,1,existing_station,26,65,20.0,1,1,suitable
1409800012786,1,existing_station,27,66,20.0,2,1,suitable
1403900013938,1,existing_station,66,172,20.0,4,1,suitable
1412000013819,1,existing_station,24,61,20.0,1,1,suitable
1410100092143,1,existing_station,6,15,20.0,1,1,suitable
1412002316230,1,existing_station,2,4,20.0,1,1,suitable
1412000016033,1,existing_station,17,28,20.0,1,1,suitable
1412000014889,1,existing_station,39,67,20.0,2,1,suitable
1409700353240,1,existing_station,11,34,20.0,1,1,suitable
1409801282875,1,existing_station,24,30,20.0,1,1,suitable
1403900013942,1,existing_station,80,172,20.0,4,1,suitable
1410100010734,1,existing_station,37,69,20.0,2,1,suitable
1407000211128,1,existing_station,14,39,20.0,1,1,suitable
1409700382257,1,existing_station,39,68,20.0,2,1,suitable
1409708744037,1,existing_station,16,35,20.0,1,1,suitable
1412007560424,1,existing_station,14,32,20.0,1,1,suitable
1409700213838,1,existing_station,15,36,20.0,1,1,suitable
1412004306940,1,existing_station,19,31,20.0,1,1,suitable
1403900013482,1,existing_station,85,179,20.0,4,1,suitable
1409700250299,1,existing_station,55,101,20.0,3,1,suitable
1403900010276,1,existing_station,54,115,20.0,3,1,suitable
141200001194A,1,existing_station,47,96,20.0,3,1,suitable
1407000010581,1,existing_station,16,32,20.0,1,1,suitable
1409708221564,1,existing_station,48,74,20.0,2,1,suitable
140970023276A,1,existing_station,16,33,20.0,1,1,suitable
1410100220113,1,existing_station,1,1,20.0,1,1,suitable
1412000012789,1,existing_station,31,57,20.0,1,1,suitable
140980001338A,1,existing_station,7,15,20.0,1,1,suitable
1409800013074,1,existing_station,3,26,20.0,1,1,suitable
1409708352740,1,existing_station,32,63,20.0,2,1,suitable
140390001546A,1,existing_station,46,78,20.0,2,1,suitable
1410100012251,1,existing_station,11,12,20.0,1,1,suitable
1409800013055,1,existing_station,13,17,20.0,1,1,suitable
1412000012327,1,existing_station,42,110,20.0,3,1,suitable
1412000011884,1,existing_station,37,82,20.0,2,1,suitable
1403900014495,1,existing_station,62,122,20.0,3,1,suitable
140390001090A,1,existing_station,42,138,20.0,3,1,suitable
1410100012035,1,existing_station,38,81,20.0,2,1,suitable
1410100010575,1,existing_station,62,121,20.0,3,1,suitable
1409800012112,1,existing_station,24,54,20.0,1,1,suitable
1412000013202,1,existing_station,28,70,20.0,2,1,suitable
1410100010630,1,existing_station,36,82,20.0,2,1,suitable
1407000201397,1,existing_station,38,50,20.0,1,1,suitable
1403900013533,1,existing_station,68,156,20.0,4,1,suitable
1403900014993,1,existing_station,53,129,20.0,3,1,suitable
1407000131452,1,existing_station,31,57,20.0,1,1,suitable
1410100312321,1,existing_station,9,13,20.0,1,1,suitable
140700020126A,1,existing_station,8,26,20.0,1,1,suitable
1410100272340,1,existing_station,12,22,20.0,1,1,suitable
1409700353772,1,existing_station,10,24,20.0,1,1,suitable
1403900013567,1,existing_station,70,154,20.0,4,1,suitable
1409701150871,1,existing_station,3,4,20.0,1,1,suitable
1403900015173,1,existing_station,34,82,20.0,2,1,suitable
1409800011985,1,existing_station,4,31,20.0,1,1,suitable
1410100091802,1,existing_station,17,45,20.0,1,1,suitable
1410100010753,1,existing_station,40,120,20.0,3,1,suitable
140980001306A,1,existing_station,10,26,20.0,1,1,suitable
1412004306936,1,existing_station,33,48,20.0,1,1,suitable
1403900015258,1,existing_station,47,79,20.0,2,1,suitable
1412000016014,1,existing_station,7,30,20.0,1,1,suitable
1409708312986,1,existing_station,31,68,20.0,2,1,suitable
1410100011592,1,existing_station,19,41,20.0,1,1,suitable
140390001037A,1,existing_station,23,67,20.0,1,1,suitable
140970822155A,1,existing_station,32,104,20.0,2,1,suitable
1412000012295,1,existing_station,55,93,20.0,3,1,suitable
1412000011808,1,existing_station,65,149,20.0,4,1,suitable
