feature,total,Typology A,Typology B,Typology C
v_ridership_annual_n,0.5417927669518747,0.2574829932269823,0.2708963834759373,0.013413390248955086
pe_marginacion_n,0.18548486117724217,0.08505669187622393,0.009239160888232676,0.09118900841278557
pe_population_n,0.08061333712832393,0.035630012632310394,0.004710684642597908,0.04027263985341563
p_poi_density_n,0.05334156260771236,0.022968793086466058,0.026382150363189093,0.003990619158057204
n_intersection_density_n,0.04537727351157451,0.019762346210839464,0.022538657711873966,0.0030762695888610745
pe_youth_share_n,0.04435033546019801,0.01913403081472132,0.009841891866662865,0.015374412778813825
p_service_density_n,0.031201496533727467,0.013584223214533463,0.015317931046067549,0.002299342273126455
p_employment_proxy_n,0.01295611893907941,0.005596557403649202,0.006422807428001361,0.0009367541074288494
pe_pop_density_n,0.012662011838764552,0.005740841725169837,0.0016425764851078855,0.005278593628486829
pe_dep_ratio_n,0.012278445212234777,0.005659893387266213,0.0010532765835266993,0.005565275241441865
p_retail_density_n,0.011473785983344092,0.0047457759906614745,0.0050982401559685935,0.0016297698367140237
n_street_density_n,0.010212331476652133,0.004789339114614567,0.004990668910547777,0.0004323234514897886
pe_rezago_n,0.00694069187201617,0.0030017390850761274,0.00216721254910533,0.0017717402378347126
p_land_use_mix_n,0.004995057103174105,0.0017384125594744676,0.0017560653966271808,0.001500579147072457
n_intersections_n,0.004908135661693582,0.002067839687201926,0.0023221245158576887,0.0005181714586339673
v_ntl_median_n,0.0,0.0,0.0,0.0
