origin_zone,dest_zone,dist_km,observed_flow,modeled_flow_beta20,modeled_flow_calibrated
06A,06B,3.14,47555.00,7357.21,3799.75
06B,06A,3.95,47489.00,91703.46,56873.42
65B,68B,4.93,40002.00,16629.82,12322.81
24B,21A,4.01,39445.00,55290.83,34709.20
21A,24B,3.81,39401.00,23725.64,14287.93
68B,44,3.07,38763.00,19401.70,9844.53
70A,70B,3.60,38558.00,77885.41,44877.36
44,68B,3.41,38433.00,27887.26,15388.56
68B,65B,4.68,38344.00,12061.04,8568.44
70B,70A,3.60,37857.00,56235.69,32427.36
70B,05,3.66,37288.00,22369.39,13052.34
07,18,4.09,36889.00,25727.58,16423.59
05,70B,5.23,36195.00,86189.33,66961.02
18,07,4.94,35779.00,34710.67,25765.94
68A,68B,4.74,34678.00,22535.43,16188.67
68B,68A,4.83,34173.00,10695.65,7795.26
70B,68A,3.79,29621.00,19889.36,11932.39
68A,70B,4.76,28477.00,60695.24,43705.09
07,08,3.58,27784.00,24728.54,14173.40
68B,70B,7.15,27584.00,32775.83,32692.34
09,70A,4.70,27197.00,46319.19,33029.54
08,07,4.34,27088.00,61110.96,40909.03
70B,68B,6.26,27013.00,18062.90,16190.66
70B,08,7.60,26301.00,4388.06,4595.65
05,09,4.47,25791.00,21702.51,14865.50
08,09,3.83,25764.00,33195.33,20105.08
70A,05,4.34,25742.00,8379.62,5603.98
09,08,3.62,25506.00,27095.15,15684.28
70A,09,3.40,25497.00,16053.40,8834.81
70B,09,4.90,25141.00,14660.06,10808.44
05,70A,5.49,24458.00,29834.42,24089.22
09,05,4.63,24154.00,19540.84,13772.39
09,70B,6.77,23942.00,58594.79,55928.77
08,70B,9.25,23566.00,31020.32,37999.42
39F,21A,18.85,23329.00,893.39,1933.70
70B,69A,3.89,20830.00,87507.53,53644.12
69A,70B,3.48,20290.00,53307.64,29892.15
24B,23,2.98,20181.00,3727.69,1844.83
06B,43,4.35,19763.00,40819.81,27368.12
23,24B,4.17,19677.00,15746.78,10193.70
43,06B,4.03,19566.00,16990.84,10722.83
68B,61,7.23,18833.00,1777.53,1789.31
08,42,4.67,18828.00,15125.13,10736.20
07,70B,7.64,18682.00,40953.46,43061.83
41,42,4.39,18514.00,7791.31,5258.06
42,08,5.03,18256.00,6949.47,5233.18
61,68B,9.78,18166.00,4881.96,6255.40
42,41,4.33,18153.00,4487.81,2999.49
16,68A,3.52,18109.00,13744.08,7774.29
68A,16,3.04,18041.00,4275.46,2148.93
30F,30,3.80,17507.00,1615.56,972.17
69B,21A,4.09,17487.00,13494.56,8603.78
70B,07,6.65,17444.00,18821.76,17714.50
70A,07,3.83,17361.00,29924.45,18111.81
07,70A,4.75,17198.00,40344.02,29022.45
21A,69B,4.11,17155.00,12987.70,8322.51
70B,06B,8.41,17153.00,4272.37,4849.97
