feature_name,mean_abs_shap,rank_position
pe_population_n,3.7375573587152955,1
p_employment_proxy_n,1.8503472436159378,2
pe_rezago_n,1.4733940052660717,3
pe_marginacion_n,1.3518358800780443,4
n_intersection_density_n,1.1186417985567076,5
p_land_use_mix_n,0.7377870737683424,6
pe_youth_share_n,0.6670779167148858,7
p_retail_density_n,0.6258515341966022,8
p_poi_density_n,0.5589874906440382,9
pe_dep_ratio_n,0.5450275111128077,10
n_street_density_n,0.49067922170458284,11
pe_pop_density_n,0.4481283268477601,12
n_intersections_n,0.4354046743428461,13
p_service_density_n,0.27840512887258695,14
