feature_name,mean_abs_shap,rank_position
pe_population_n,0.10424156984286045,1
pe_marginacion_n,0.05222070566392171,2
pe_rezago_n,0.04244230150763313,3
p_employment_proxy_n,0.039873349236554854,4
pe_youth_share_n,0.03437868290572993,5
n_intersection_density_n,0.02729757511087116,6
p_service_density_n,0.023005066998864517,7
p_poi_density_n,0.019964868991957093,8
pe_dep_ratio_n,0.018729208379384646,9
p_retail_density_n,0.015300873848701695,10
p_land_use_mix_n,0.01508734430280975,11
n_intersections_n,0.014288058530087936,12
pe_pop_density_n,0.008864552544962755,13
n_street_density_n,0.007327851849130542,14
