route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
C01,retire,"Route has low demand-gain (f1=0.005, score=0.263) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.26268843251486723,,,Reduce frequency or retire C01; reallocate vehicles to higher-demand routes.
C02,retire,"Route has low demand-gain (f1=0.005, score=0.258) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2578550389709871,,,Reduce frequency or retire C02; reallocate vehicles to higher-demand routes.
C03,retire,"Route has low demand-gain (f1=0.002, score=0.227) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.22715510471743533,,,Reduce frequency or retire C03; reallocate vehicles to higher-demand routes.
C04,shortcut,Route detour_ratio=2.03 > 1.5. Current route_km=12.7km; estimated shortcut=6.9km (straight_line_km=6.3km x 1.1).,0.28457319499513123,0.3331,,Replace detoured alignment with direct route between highest-demand endpoints (~6.9km).
C05,retire,"Route has low demand-gain (f1=0.003, score=0.217) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.21655068154588647,,,Reduce frequency or retire C05; reallocate vehicles to higher-demand routes.
C06,shortcut,Route detour_ratio=1.95 > 1.5. Current route_km=23.8km; estimated shortcut=13.4km (straight_line_km=12.2km x 1.1).,0.19336603277891604,0.28,,Replace detoured alignment with direct route between highest-demand endpoints (~13.4km).
C07-V1,retire,"Route has low demand-gain (f1=0.003, score=0.233) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2326328802065784,,,Reduce frequency or retire C07-V1; reallocate vehicles to higher-demand routes.
C07-V2,retire,"Route has low demand-gain (f1=0.002, score=0.220) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.22035715099974446,,,Reduce frequency or retire C07-V2; reallocate vehicles to higher-demand routes.
C08,shortcut,Route detour_ratio=1.93 > 1.5. Current route_km=13.2km; estimated shortcut=7.5km (straight_line_km=6.8km x 1.1).,0.281388797470452,0.3287,,Replace detoured alignment with direct route between highest-demand endpoints (~7.5km).
C09,merge,Route overlaps 100.0% of served AGEBs with LM-C02 (Jaccard=1.00). Consolidation improves frequency without expanding coverage.,0.2609308064514465,,LM-C02,Merge C09 into LM-C02; combine headways to improve service frequency.
C10,merge,Route overlaps 100.0% of served AGEBs with LM-C03 (Jaccard=1.00). Consolidation improves frequency without expanding coverage.,0.2795568769458775,,LM-C03,Merge C10 into LM-C03; combine headways to improve service frequency.
C100,retire,"Route has low demand-gain (f1=0.020, score=0.262) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2622469992435107,,,Reduce frequency or retire C100; reallocate vehicles to higher-demand routes.
C101,shortcut,Route detour_ratio=1.61 > 1.5. Current route_km=25.1km; estimated shortcut=17.1km (straight_line_km=15.6km x 1.1).,0.17872198107414947,0.245,,Replace detoured alignment with direct route between highest-demand endpoints (~17.1km).
