route_id,shape_id,max_overlap_fraction
MC-A03,MC-A03_r1,0.0
MC-A05,MC-A05_r2,0.465
MC-A06,MC-A06_r2,1.0
MC-A07,MC-A07_r2,0.215
MC-A08,MC-A08_r1,0.37
MC-A09,MC-A09_r2,0.565
MC-A10,MC-A10_r1,0.51
MC-A13,MC-A13_r2,0.0
MC-A15,MC-A15_r2,0.605
MC-A16,MC-A16_r1,0.305
MC-A17,MC-A17_r2,0.12
MC-A18,MC-A18_r1,0.185
MC-A19,MC-A19_r2,0.085
MC-A20,MC-A20_r1,0.12
MC-A21,MC-A21_r2,0.095
MC-L1,MC-L1_r1,0.17
MC-L1E,MC-L1E_r1,0.175
MP-A01,MP-A01_r2,0.2
MP-A02,MP-A02_r2,0.16
MP-A03,MP-A03_r2,0.0
MP-A04,MP-A04_r2,0.115
MP-A05-1,MP-A05-1_r1,0.305
MP-A06,MP-A06_r1,0.345
MP-A07,MP-A07_r1,0.205
MP-C01,MP-C01_r2,0.515
MP-C02,MP-C02_r2,0.11
MP-C03,MP-C03_r1,0.14
MP-T01,MP-T01_r1,0.16
MP-T02,MP-T02_r1,0.135
MP-T03,MP-T03_r2,0.19
MT_L3,MT_L3_r1,0.08
MT_L1,MT_L1_r1,0.055
MT_L2,MT_L2_r1,0.095
