cve_ageb,n_boarding_stops,accessibility_score,accessibility_n
0100100012649,7,125200.0,0.9977587320020531
0100100012032,8,126315.0,0.9985124064540858
0100100013990,3,123540.0,0.9966241422950072
0100100014471,0,0.0,0.0
0100100010799,10,127265.0,0.9991493202265096
0100100011693,3,124120.0,0.9970222887356245
0100100012278,3,128445.0,0.9999338463450863
0100100012507,13,122665.0,0.9960199392483099
0100100012263,3,124820.0,0.9975003399613458
0100100013825,4,123540.0,0.9966241422950072
0100100012634,8,124245.0,0.997107852441053
0100100012013,3,127955.0,0.9996089471570174
0100100012988,4,125155.0,0.9977281739120701
0100100012884,17,125155.0,0.9977281739120701
0100100010873,9,128325.0,0.9998543939415692
0100100012719,10,125355.0,0.9978639036402875
0100100012812,3,126500.0,0.9986368117756466
0100100013261,7,127970.0,0.9996189114979691
0100100011689,15,122975.0,0.9962344913264487
0100100011744,18,123015.0,0.9962621360618472
0100100010869,8,126135.0,0.9983911884332672
0100100012460,8,126335.0,0.9985258644589787
0100100010642,8,128445.0,0.9999338463450863
0100100010835,7,126135.0,0.9983911884332672
0100100014081,2,120940.0,0.9948160680606543
0100100010290,7,128545.0,1.0
0100100013045,8,118610.0,0.9931624194067963
0100100012259,5,126695.0,0.9987677449108902
0100100014058,2,122440.0,0.9958638761044504
0100100012494,17,118155.0,0.9928357080842731
0100100013153,0,0.0,0.0
0100100013238,6,123165.0,0.9963657238220982
0100100012564,6,127185.0,0.9990958690143811
0100100012314,8,127030.0,0.9989922115482597
0100100011975,4,127230.0,0.9991259394567306
0100100010623,5,127265.0,0.9991493202265096
0100100011354,6,127185.0,0.9990958690143811
0100100010286,4,126535.0,0.9986603274502984
0100100010746,5,127385.0,0.9992294340782788
0100100013098,2,120645.0,0.9946084705713755
0100100010337,11,128190.0,0.9997649211305142
0100100012969,13,124945.0,0.9975854240629531
0100100010638,10,128445.0,0.9999338463450863
0100100011462,7,125155.0,0.9977281739120701
0100100010445,3,126495.0,0.9986334518624406
0100100013581,2,123975.0,0.9969229268179719
0100100013079,4,119785.0,0.9940003615306388
0100100012047,8,125845.0,0.9981955284118312
0100100012456,0,0.0,0.0
0100100012297,9,127385.0,0.9992294340782788
0100100012526,0,0.0,0.0
0100100010888,3,125820.0,0.9981786400640529
0100100011316,5,127995.0,0.9996355161377075
0100100012846,5,121005.0,0.9948617417981358
0100100012579,10,126470.0,0.9986166503040547
0100100014429,0,0.0,0.0
0100100010229,2,124320.0,0.9971591493541836
0100100012210,7,118735.0,0.9932519558281402
0100100013295,12,128245.0,0.9998013843854945
0100100012117,9,127385.0,0.9992294340782788
0100100013064,3,119405.0,0.9937302701420958
0100100012780,9,126985.0,0.998962093754051
0100100012865,9,125625.0,0.9980467956708573
0100100014414,2,117125.0,0.99209144801055
0100100010464,12,128545.0,1.0
0100100010426,10,128245.0,0.9998013843854945
0100100012475,5,126335.0,0.9985258644589787
0100100012028,7,128090.0,0.9996985842044392
0100100011392,0,0.0,0.0
0100100011439,5,122060.0,0.9955996504659147
0100100010680,10,125320.0,0.997840166577184
0100100013685,2,97030.0,0.9760918654011503
0100100012973,10,125355.0,0.9978639036402875
0100100013115,7,126115.0,0.9983777090878023
0100100011477,5,124745.0,0.9974492485918819
0100100010356,11,128545.0,1.0
0100100011994,4,128055.0,0.9996753540445469
0100100014039,4,111270.0,0.9877322651112278
0100100012386,2,117940.0,0.9926808900542317
0100100013859,3,117590.0,0.9924282560126253
0100100013702,8,112630.0,0.9887649306927245
0100100010977,6,123210.0,0.9963967755506953
0100100012051,4,125435.0,0.9979181349070014
0100100012070,9,125845.0,0.9981955284118312
0100100013280,4,127030.0,0.9989922115482597
0100100012422,6,127385.0,0.9992294340782788
0100100013223,6,127230.0,0.9991259394567306
0100100010430,4,128245.0,0.9998013843854945
0100100010712,9,127385.0,0.9992294340782788
0100100012850,10,124945.0,0.9975854240629531
0100100014217,1,81190.0,0.9609417911294307
0100100013276,3,123975.0,0.9969229268179719
0100100011636,2,125625.0,0.9980467956708573
0100100011782,0,0.0,0.0
0100100012225,6,115610.0,0.9909847560349295
0100100013454,6,107540.0,0.9848338993288057
0100100012920,4,125695.0,0.99809414795902
0100100010483,5,127185.0,0.9990958690143811
0100100013242,1,80.0,0.3735492544861963
0100100010498,4,126135.0,0.9983911884332672
0100100012136,4,125885.0,0.9982225427912008
0100100013717,5,112415.0,0.9886025109606006
0100100014378,8,123270.0,0.9964381602186904
0100100013774,9,125335.0,0.9978503404158835
0100100011528,2,123715.0,0.9967444692568831
0100100010534,11,126670.0,0.9987509698777557
0100100011547,7,126335.0,0.9985258644589787
0100100010676,5,124035.0,0.9969640561816089
0100100011509,3,127145.0,0.9990691307991888
0100100012189,8,126335.0,0.9985258644589787
0100100014359,0,0.0,0.0
0100100011956,0,0.0,0.0
0100100010962,7,126550.0,0.9986704036054815
0100100010591,8,126180.0,0.9984215091478152
0100100012193,12,122270.0,0.9957457714126792
0100100013172,3,127185.0,0.9990958690143811
0100100012691,3,125710.0,0.998104291447017
0100100010360,10,128445.0,0.9999338463450863
0100100011299,1,10835.0,0.789748041315908
0100100010905,12,126550.0,0.9986704036054815
0100100010816,8,126670.0,0.9987509698777557
0100100013168,5,128445.0,0.9999338463450863
0100100010695,3,128325.0,0.9998543939415692
0100100010568,7,127265.0,0.9991493202265096
0100100012206,11,123015.0,0.9962621360618472
0100100010322,6,128090.0,0.9996985842044392
0100100013401,0,0.0,0.0
0100104793416,1,70015.0,0.9483542285366147
0100100012155,12,126985.0,0.998962093754051
0100100012329,9,125135.0,0.9977145890118243
0100100010892,6,126215.0,0.9984450844508779
0100100012583,8,127185.0,0.9990958690143811
0100100013191,9,121685.0,0.9953380938215428
0100100011373,6,121620.0,0.9952926753840976
0100100010233,3,126275.0,0.9984854840505772
0100100012348,3,123375.0,0.996510534941534
0100100010820,9,126335.0,0.9985258644589787
0100100010553,10,128325.0,0.9998543939415692
0100100010619,1,126470.0,0.9986166503040547
0100100013539,6,114360.0,0.9900606692627216
0100100012600,5,128090.0,0.9996985842044392
