cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
0100100010017,5059.773544502288,79915.0,0.06331364863734781,0.0066429000017585536,4,2,High-gap
0100100010106,458.71468121536,120940.0,0.003792879844017827,0.00040964346687810406,1,3,Medium-gap
0100100010163,1330.229143201433,0.0,1330.229143201433,0.7784327903946286,2,1,Medium-gap
0100100010182,0.0,84690.0,0.0,0.0,1,2,Medium-gap
0100100010229,12036.29137566321,124320.0,0.09681623680362296,0.009999677676464674,5,4,Medium-gap
0100100010233,7013.692952311485,126275.0,0.05554256511381011,0.005849172741332177,4,4,Medium-gap
0100100010286,5326.67082203483,126535.0,0.042096089824515,0.004461864430554351,4,5,Medium-gap
0100100010290,3673.8652023720106,128545.0,0.0285801596500242,0.003049232027751123,3,5,Medium-gap
0100100010303,5207.485905304351,128545.0,0.04051068026468619,0.004297115145242229,4,5,Medium-gap
0100100010322,3565.68854096474,128090.0,0.027837151251569117,0.0029710383303692893,3,5,Medium-gap
0100100010337,5033.334986758999,128190.0,0.03926433982696912,0.004167424204958555,4,5,Medium-gap
0100100010341,2830.224451738415,128545.0,0.022017211361990377,0.0023565892222468126,3,5,Medium-gap
0100100010356,1443.0299516217456,128545.0,0.011225786501499429,0.0012079521145348996,2,5,Low-gap
0100100010360,3131.148973998349,128445.0,0.02437716218487418,0.002606165366677735,3,5,Medium-gap
0100100010375,4480.723482701148,127385.0,0.035174379309352265,0.0037407382701976693,3,5,Medium-gap
0100100010407,738.0774290601257,128245.0,0.005755169198728426,0.0006209700103921499,1,5,Low-gap
0100100010411,2293.2760156666395,128245.0,0.01788185218772234,0.00191786217328197,2,5,Low-gap
0100100010426,4807.670325730614,128245.0,0.03748787740538196,0.0039823010654754225,4,5,Medium-gap
0100100010430,3659.0262219153774,128245.0,0.028531308749710535,0.0030440927273295035,3,5,Medium-gap
0100100010445,2820.058166780587,126495.0,0.022293654872727886,0.002385854235419452,3,4,Medium-gap
0100100010464,843.1413053001559,128545.0,0.006559062944783625,0.0007074254120956142,2,5,Low-gap
0100100010483,7169.090787537294,127185.0,0.05636698054453552,0.005933653942377151,5,5,Medium-gap
0100100010498,5053.178312702759,126135.0,0.04006134896225312,0.0042503768159221095,4,4,Medium-gap
0100100010500,6812.793494659881,128445.0,0.053040137448109564,0.005592334104776889,4,5,Medium-gap
0100100010515,13063.525816525153,128445.0,0.10170441910627931,0.01048085684604632,5,5,Medium-gap
0100100010534,5501.957677041798,126670.0,0.04343502204168119,0.004600805691803363,4,5,Medium-gap
0100100010549,7044.11489188696,128445.0,0.05484106077174034,0.005777234762862197,4,5,Medium-gap
0100100010553,2459.9087480703915,128325.0,0.019169215498576996,0.0020546314428794127,2,5,Low-gap
0100100010568,4414.832467161707,127265.0,0.03468980298871425,0.003690073088416266,3,5,Medium-gap
0100100010572,8033.571916746108,128325.0,0.06260283899401609,0.006570540363710979,5,5,Medium-gap
0100100010587,4434.362671095804,126180.0,0.03514287151865815,0.0037374446743263425,3,4,Medium-gap
0100100010591,9407.638947145571,126180.0,0.07455669987672923,0.00778104105435608,5,4,Medium-gap
0100100010604,4602.929260130461,123900.0,0.03715005738557769,0.003947061355068591,3,3,Medium-gap
0100100010619,7772.791039037905,126470.0,0.06145907788376707,0.006454005075664452,5,4,Medium-gap
0100100010623,9897.126200899833,127265.0,0.0777672449900196,0.008103861267766757,5,5,Medium-gap
0100100010638,21271.329403128897,128445.0,0.16560523023783455,0.01658183993638178,5,5,Medium-gap
0100100010642,6833.507159405383,128445.0,0.05320140105106724,0.005608903911572811,4,5,Medium-gap
0100100010657,7224.846812164555,128445.0,0.056248126155462645,0.0059214785181518235,5,5,Medium-gap
0100100010676,1420.9569327114618,124035.0,0.011456004165818486,0.0012325841521586567,2,4,Low-gap
0100100010680,1061.737498872018,125320.0,0.008472143526400348,0.0009128918426435848,2,4,Low-gap
0100100010695,6366.052193639522,128325.0,0.049608436276666626,0.005239124573590432,4,5,Medium-gap
0100100010708,15245.598592277229,128325.0,0.11880366092823924,0.012147422164092455,5,5,Medium-gap
0100100010712,10522.560922939643,127385.0,0.08260374705964268,0.008588360423823743,5,5,Medium-gap
0100100010727,4175.412280419051,127385.0,0.03277763867629921,0.0034899137246311557,3,5,Medium-gap
0100100010731,2456.676265999672,126215.0,0.019464063716166508,0.0020859317543262578,2,4,Low-gap
0100100010746,1806.5231099301031,127385.0,0.01418148862457494,0.001523770831509226,2,5,Low-gap
0100100010784,9622.620456270288,128325.0,0.07498574300040746,0.007824237119311484,5,5,Medium-gap
0100100010799,7200.50695016635,127265.0,0.056578402324001305,0.0059553085696400975,5,5,Medium-gap
0100100010801,2447.4084059871248,127385.0,0.01921253831651143,0.0020592310467748153,2,5,Low-gap
0100100010816,8921.72337908307,126670.0,0.07043224873162027,0.007364909260521012,5,5,Medium-gap
0100100010820,3867.583145010901,126335.0,0.030613468409724075,0.0032629276108334347,3,4,Medium-gap
0100100010835,1631.6077196418298,126135.0,0.012935305698942648,0.0013907277368790238,2,4,Low-gap
0100100010854,7081.467650917708,127265.0,0.05564304410382748,0.005859472762165038,5,5,Medium-gap
0100100010869,9844.93675794406,126135.0,0.0780501740814998,0.008132263657955451,5,4,Medium-gap
0100100010873,2365.7752808921846,128325.0,0.018435666045011803,0.00197672045646296,2,5,Low-gap
0100100010888,4426.803859199842,125820.0,0.035183346652783255,0.003741675632902195,3,4,Medium-gap
0100100010892,8024.944881775787,126215.0,0.06358104267110182,0.006670107899487659,5,4,Medium-gap
0100100010905,11526.798578490852,126550.0,0.0910842156797722,0.009432694103535874,5,5,Medium-gap
0100100010939,3537.6966393832176,125665.0,0.02815158148889292,0.003004135650848204,3,4,Medium-gap
0100100010962,6888.144962690475,126550.0,0.054429794807551696,0.005735037946911745,4,5,Medium-gap
0100100010977,6164.6607831783,123210.0,0.05003336376766929,0.005282923037912301,4,3,Medium-gap
0100100010996,0.0,104060.0,0.0,0.0,1,2,Medium-gap
0100100011000,1248.341084936823,122440.0,0.010195449930471192,0.0010976429520242223,2,3,Medium-gap
0100100011034,9051.12060700573,119815.0,0.07554183587338695,0.007880198907191839,5,3,Medium-gap
0100100011091,3859.875400069495,118080.0,0.03268836984840486,0.0034805602916406467,3,3,Medium-gap
0100100011161,7170.593960529596,112700.0,0.06362493642939811,0.006674573526863337,5,2,High-gap
0100100011195,257.7637844937401,117875.0,0.0021867367784259737,0.00023636401610272655,1,3,Medium-gap
0100100011208,38.9142377038024,114785.0,0.00033901553938461485,3.6677967589040515e-05,1,2,Medium-gap
0100100011227,165.8416798103568,115975.0,0.0014299655084703455,0.00015462314302684089,1,2,Medium-gap
0100100011265,1393.7582407467607,0.0,1393.7582407467607,0.7834772743688401,2,1,Medium-gap
0100100011299,0.0,10835.0,0.0,0.0,1,2,Medium-gap
0100100011316,4437.803597589332,127995.0,0.03467142408816941,0.00368815100390661,3,5,Medium-gap
0100100011320,22207.116708098525,124655.0,0.17814719474472568,0.017739943071017613,5,4,Medium-gap
0100100011354,7283.443884816402,127185.0,0.0572660818393251,0.006025713379288498,5,5,Medium-gap
0100100011373,8893.572039296194,121620.0,0.07312529940796568,0.0076368027856465355,5,3,Medium-gap
0100100011392,8912.707311448976,0.0,8912.707311448976,0.9841889051093419,5,1,High-gap
