route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
R_01,retire,"Route has low demand-gain (f1=0.005, score=0.111) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.11088178830403042,,,Reduce frequency or retire R_01; reallocate vehicles to higher-demand routes.
R_02,shortcut,Route detour_ratio=2.05 > 1.5. Current route_km=15.7km; estimated shortcut=8.4km (straight_line_km=7.7km x 1.1).,0.1997959570871533,,,Replace detoured alignment with direct route between highest-demand endpoints (~8.4km).
R_03,shortcut,Route detour_ratio=1.73 > 1.5. Current route_km=32.8km; estimated shortcut=20.8km (straight_line_km=18.9km x 1.1).,0.0735810045595672,,,Replace detoured alignment with direct route between highest-demand endpoints (~20.8km).
R_04,retire,"Route has low demand-gain (f1=0.008, score=0.113) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.11277948255201527,,,Reduce frequency or retire R_04; reallocate vehicles to higher-demand routes.
R_05,shortcut,Route detour_ratio=1.74 > 1.5. Current route_km=24.6km; estimated shortcut=15.5km (straight_line_km=14.1km x 1.1).,0.10581537585212314,,,Replace detoured alignment with direct route between highest-demand endpoints (~15.5km).
R_06,shortcut,Route detour_ratio=1.70 > 1.5. Current route_km=27.8km; estimated shortcut=18.0km (straight_line_km=16.3km x 1.1).,0.08432004632891202,,,Replace detoured alignment with direct route between highest-demand endpoints (~18.0km).
R_07,shortcut,Route detour_ratio=1.97 > 1.5. Current route_km=14.5km; estimated shortcut=8.1km (straight_line_km=7.4km x 1.1).,0.19591061580068864,,,Replace detoured alignment with direct route between highest-demand endpoints (~8.1km).
R_08,shortcut,Route detour_ratio=1.56 > 1.5. Current route_km=13.0km; estimated shortcut=9.2km (straight_line_km=8.3km x 1.1).,0.2335380550240232,,,Replace detoured alignment with direct route between highest-demand endpoints (~9.2km).
R_09,shortcut,Route detour_ratio=2.17 > 1.5. Current route_km=25.8km; estimated shortcut=13.1km (straight_line_km=11.9km x 1.1).,0.12405270265761409,,,Replace detoured alignment with direct route between highest-demand endpoints (~13.1km).
R_10N,retire,"Route has low demand-gain (f1=0.004, score=0.213) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.21342847360443148,,,Reduce frequency or retire R_10N; reallocate vehicles to higher-demand routes.
R_10S,shortcut,Route detour_ratio=1.64 > 1.5. Current route_km=16.3km; estimated shortcut=11.0km (straight_line_km=10.0km x 1.1).,0.1896475200256339,,,Replace detoured alignment with direct route between highest-demand endpoints (~11.0km).
R_11,shortcut,Route detour_ratio=1.54 > 1.5. Current route_km=28.6km; estimated shortcut=20.5km (straight_line_km=18.6km x 1.1).,0.08004242467716016,,,Replace detoured alignment with direct route between highest-demand endpoints (~20.5km).
R_12,shortcut,Route detour_ratio=2.66 > 1.5. Current route_km=22.1km; estimated shortcut=9.2km (straight_line_km=8.3km x 1.1).,0.1480590257440636,,,Replace detoured alignment with direct route between highest-demand endpoints (~9.2km).
R_14,shortcut,Route detour_ratio=2.01 > 1.5. Current route_km=15.8km; estimated shortcut=8.7km (straight_line_km=7.9km x 1.1).,0.22434039002231992,,,Replace detoured alignment with direct route between highest-demand endpoints (~8.7km).
R_16,shortcut,Route detour_ratio=1.86 > 1.5. Current route_km=22.6km; estimated shortcut=13.3km (straight_line_km=12.1km x 1.1).,0.1313730873313128,,,Replace detoured alignment with direct route between highest-demand endpoints (~13.3km).
R_18,shortcut,Route detour_ratio=1.55 > 1.5. Current route_km=19.0km; estimated shortcut=13.4km (straight_line_km=12.2km x 1.1).,0.146290685209305,,,Replace detoured alignment with direct route between highest-demand endpoints (~13.4km).
R_19,shortcut,Route detour_ratio=1.70 > 1.5. Current route_km=21.5km; estimated shortcut=14.0km (straight_line_km=12.7km x 1.1).,0.1267390982745602,,,Replace detoured alignment with direct route between highest-demand endpoints (~14.0km).
R_20N,shortcut,Route detour_ratio=3.32 > 1.5. Current route_km=18.3km; estimated shortcut=6.0km (straight_line_km=5.5km x 1.1).,0.15359585863527517,,,Replace detoured alignment with direct route between highest-demand endpoints (~6.0km).
