route_id,route_short_name,route_long_name,route_km,n_stops,straight_line_km,detour_ratio,connects_to_existing,n_served_agebs,f1_demand_gain,f2_route_km,f3_equity,composite_score,total_score,pareto_rank,feasible,flag,overlap_route_id
R_01,R01,R-01,24.127830719617474,93,17.92610108170998,1.346,True,33,0.004549768778948357,24.127830719617474,0.2295891020875774,0.11088178830403042,0.11088178830403042,5,False,Low demand,
R_02,R02,R-02,15.666742436939543,98,7.650274707586355,2.048,True,35,0.00391159508076728,15.666742436939543,0.30576219592352893,0.1997959570871533,0.1997959570871533,2,False,Indirect,
R_03,R03,R-03,32.828551797842124,140,18.936912459730106,1.734,True,33,0.014029167299066378,32.828551797842124,0.2382073490420033,0.0735810045595672,0.0735810045595672,5,False,Indirect,
R_04,R04,R-04,24.009768920716244,116,16.626300355208066,1.444,True,31,0.008447928056873567,24.009768920716244,0.2176518486711082,0.11277948255201527,0.11277948255201527,5,False,Low demand,
R_05,R05,R-05,24.606987069641765,113,14.121152229206087,1.743,True,27,0.0045609564628791375,24.606987069641765,0.22525057987836813,0.10581537585212314,0.10581537585212314,5,False,Indirect,
R_06,R06,R-06,27.768472330587286,121,16.339567674669,1.699,True,38,0.007417764594241183,27.768472330587286,0.2332248712915928,0.08432004632891202,0.08432004632891202,4,False,Indirect,
R_07,R07,R-07,14.481055613121558,73,7.366167724577665,1.966,True,27,0.00426404666933038,14.481055613121558,0.2492881302961516,0.19591061580068864,0.19591061580068864,2,False,Indirect,
R_08,R08,R-08,12.974515376612056,60,8.325535828071741,1.558,True,30,0.025252333744285076,12.974515376612056,0.2656267310060211,0.2335380550240232,0.2335380550240232,1,False,Indirect,
R_09,R09,R-09,25.776742945921328,133,11.886148054575198,2.169,True,51,0.005788573346877142,25.776742945921328,0.332281282106992,0.12405270265761409,0.12405270265761409,2,False,Indirect,
R_10N,R10N,R-10N,11.276673575961789,51,9.288015389343562,1.214,True,13,0.004392365835221871,11.276673575961789,0.21203355027556484,0.21342847360443148,0.21342847360443148,2,False,Low demand,
R_10S,R10S,R-10S,16.318799373524648,62,9.97399447875108,1.636,True,25,0.011494213887280684,16.318799373524648,0.25657320367090114,0.1896475200256339,0.1896475200256339,3,False,Indirect,
R_11,R11,R-11,28.584543266848147,124,18.60310335140216,1.537,True,42,0.004482888338296479,28.584543266848147,0.25505625425039297,0.08004242467716016,0.08004242467716016,4,False,Indirect,
R_12,R12,R-12,22.119158590247157,110,8.315954297052306,2.66,True,44,0.017854310589347094,22.119158590247157,0.25812414696043795,0.1480590257440636,0.1480590257440636,3,False,Indirect,
R_14,R14,R-14,15.796449401859448,82,7.860620726564841,2.01,True,23,0.02723104267897878,15.796449401859448,0.3149857027686796,0.22434039002231992,0.22434039002231992,2,False,Indirect,
R_16,R16,R-16,22.56497075520347,111,12.13321876016962,1.86,True,47,0.003227393603240647,22.56497075520347,0.26474846675240427,0.1313730873313128,0.1313730873313128,5,False,Indirect,
R_18,R18,R-18,18.973701305744523,100,12.23153252131699,1.551,True,31,0.003778452741103489,18.973701305744523,0.20250564006429014,0.146290685209305,0.146290685209305,5,False,Indirect,
R_19,R19,R-19,21.539176712852434,89,12.690582673661229,1.697,True,41,0.0033015394090517543,21.539176712852434,0.21172279255711496,0.1267390982745602,0.1267390982745602,7,False,Indirect,
R_20N,R20N,R-20N,18.256918095175166,45,5.4933095062886705,3.323,True,43,0.00232689041476553,18.256918095175166,0.21363980938787744,0.15359585863527517,0.15359585863527517,6,False,Indirect,
R_20S,R20S,R-20S,18.263702565440813,47,5.478155475106308,3.334,True,43,0.00232689041476553,18.263702565440813,0.21363980938787744,0.15353932138306145,0.15353932138306145,7,False,Redundant,R_20N
R_23,R23,R-23,29.246393710605847,108,14.149971161535172,2.067,True,44,0.014443625102969782,29.246393710605847,0.2533582037774889,0.08406322845895994,0.08406322845895994,4,False,Indirect,
R_24,R24,R-24,17.087344526873167,75,12.489480234116952,1.368,True,30,0.003669329256801022,17.087344526873167,0.22304409815184495,0.1670358160708192,0.1670358160708192,5,False,Low demand,
R_25,R25,R-25,18.60583468429572,82,12.59947501106847,1.477,True,38,0.0036130317479690166,18.60583468429572,0.2119074976724195,0.1515412837969429,0.1515412837969429,6,False,Low demand,
R_27,R27,R-27,19.043682515997443,92,9.590116860259071,1.986,True,51,0.0034179214472577065,19.043682515997443,0.30116241091115964,0.17001116987506892,0.17001116987506892,4,False,Indirect,
R_28,R28,R-28,29.49517148787329,116,18.301066267163804,1.612,True,43,0.015248204446871208,29.49517148787329,0.27328751032899723,0.08777698629684309,0.08777698629684309,4,False,Indirect,
R_29,R29,R-29,17.40946995636042,70,7.662017654496936,2.272,True,32,0.006512689452533941,17.40946995636042,0.2665342192514078,0.1780673279623824,0.1780673279623824,3,False,Indirect,
R_30,R30,R-30,24.625808316809266,122,12.159303352871603,2.025,True,45,0.02457143916329196,24.625808316809266,0.24773603918976628,0.13129037965398965,0.13129037965398965,3,False,Indirect,
R_33,R33,R-33,22.78637419198824,100,16.625879690397124,1.371,True,33,0.008566739591322675,22.78637419198824,0.2160306714804249,0.12268795586152689,0.12268795586152689,5,False,Low demand,
R_34,R34,R-34,23.538149389831766,117,15.879114157678824,1.482,True,40,0.012461362247101208,23.538149389831766,0.22635268589776839,0.12289828880627857,0.12289828880627857,4,False,Low demand,
R_35,R35,R-35,21.20959717807533,88,12.238160122489111,1.733,True,35,0.0030262714795558196,21.20959717807533,0.2390686766302935,0.13604679748650142,0.13604679748650142,5,False,Indirect,
R_36,R36,R-36,14.120578033854121,88,7.492995616371837,1.885,True,27,0.004126454856043919,14.120578033854121,0.23102815349788844,0.19421200961506502,0.19421200961506502,2,False,Indirect,
R_37,R37,R-37,27.408417256429644,114,15.308627992587649,1.79,True,42,0.015857960766917423,27.408417256429644,0.27389943629097835,0.10592934270274831,0.10592934270274831,3,False,Indirect,
R_38,R38,R-38,18.6058929721419,95,14.242835011489422,1.306,True,29,0.004012454247544356,18.6058929721419,0.19208226896902644,0.14698391338861846,0.14698391338861846,5,False,Low demand,
R_39,R39,R-39,16.852789185556347,57,10.254860354107182,1.643,True,25,0.004102319636751435,16.852789185556347,0.2861582719773576,0.1852019777514546,0.1852019777514546,3,True,Indirect,
R_40N,R40N,R-40N,32.517851513238185,76,8.998233224964713,3.614,True,49,0.006150579315970265,32.517851513238185,0.19667463930001838,0.05531923914097486,0.05531923914097486,6,False,Redundant,R_40S
R_40S,R40S,R-40S,26.02337712126242,61,8.93307087889947,2.913,True,45,0.009547022844944119,26.02337712126242,0.18505124152528224,0.08894835721574451,0.08894835721574451,5,False,Indirect,
R_41ALAMEDA,R41ALAMEDA,R-41ALAMEDA,19.169175324576273,62,12.147531006212967,1.578,True,26,0.003778998947675152,19.169175324576273,0.21823262242988894,0.14859402685034512,0.14859402685034512,5,True,Redundant,R_24
R_41PENAL,R41PENAL,R-41PENAL,20.74445324045096,84,13.094893036434094,1.584,True,32,0.003605049042363827,20.74445324045096,0.2339763419589174,0.13922869086166853,0.13922869086166853,4,False,Redundant,R_41ALAMEDA
R_42,R42,R-42,18.6130212412728,112,10.74271089650788,1.733,True,34,0.0034730499746767683,18.6130212412728,0.30619268593217924,0.1749127111137816,0.1749127111137816,3,False,Indirect,
R_43N,R43N,R-43N,15.532507652157403,61,8.105534923468529,1.916,True,28,0.008527559489347258,15.532507652157403,0.25862174878843,0.1937454329184764,0.1937454329184764,2,False,Indirect,
R_43S,R43S,R-43S,16.973909670828128,46,10.02990075568816,1.692,True,11,0.010996109479059763,16.973909670828128,0.23249980718514107,0.17767181401844398,0.17767181401844398,4,True,Indirect,
R_45,R45,R-45,22.394773963829998,104,11.5071036972819,1.946,True,44,0.0030940517766536928,22.394773963829998,0.31516130590118485,0.1452612618866999,0.1452612618866999,2,False,Indirect,
R_46,R46,R-46,23.984481753885806,80,13.835149957558473,1.734,True,37,0.0037773337746083427,23.984481753885806,0.2877881559169833,0.12585369147147246,0.12585369147147246,3,True,Indirect,
R_47,R47,R-47,22.9620374423726,86,10.80553007580155,2.125,True,34,0.003928423748077631,22.9620374423726,0.2522720460155131,0.12564612323218421,0.12564612323218421,4,False,Indirect,
R_48,R48,R-48,18.09975021389125,74,8.617927325818455,2.1,True,42,0.012298637637043317,18.09975021389125,0.27476772603807087,0.18015931736413393,0.18015931736413393,3,False,Indirect,
R_50,R50,R-50,31.327538833537073,128,14.923129745038102,2.099,True,45,0.027254616211451525,31.327538833537073,0.26995389747785903,0.09474309058091629,0.09474309058091629,2,False,Indirect,
