feature,dimension,critic_weight,ewm_weight,ensemble_weight
pe_rezago_n,PEOPLE,0.14760122075532858,0.34653806152687616,0.24706964114110236
p_employment_proxy_n,PLACE,0.12494481232904207,0.13775999769788536,0.1313524050134637
p_service_density_n,PLACE,0.10159237109734412,0.15060539023780317,0.12609888066757363
pe_marginacion_n,PEOPLE,0.06269365347265686,0.14021470332324798,0.10145417839795243
n_intersection_density_n,NODE,0.07420503711088024,0.04579079983621367,0.05999791847354695
p_retail_density_n,PLACE,0.06466727378539522,0.046252715137711384,0.0554599944615533
p_land_use_mix_n,PLACE,0.07686371466431276,0.0331120326323309,0.05498787364832183
pe_youth_share_n,PEOPLE,0.05922824275874085,0.024981563041237866,0.04210490289998936
p_poi_density_n,PLACE,0.053358986861215735,0.019627900535406563,0.036493443698311145
pe_dep_ratio_n,PEOPLE,0.04460611406043943,0.020767658942724955,0.03268688650158219
n_intersections_n,NODE,0.05118746769241713,0.011070252281690824,0.03112885998705398
pe_population_n,PEOPLE,0.048960639134875,0.00932048376958962,0.02914056145223231
n_street_density_n,NODE,0.045700144134730725,0.00736962174016366,0.026534882937447192
pe_pop_density_n,PEOPLE,0.04439032214262132,0.006588819297117888,0.025489570719869604
