cve_ageb,n_boarding_stops,accessibility_score,accessibility_n
1500501430501,15,9410.0,0.7576407152010909
1500500340380,25,54215.0,0.9026412909337498
1500500040215,0,0.0,0.0
1500500350499,0,0.0,0.0
1500500370395,8,11475.0,0.7740675752282485
1500500010361,47,20385.0,0.8216468694537393
1500501650516,73,37870.0,0.872931445079535
1500500450342,0,0.0,0.0
1500501650520,50,36115.0,0.8690023482570665
1500500010450,53,16175.0,0.8024923070964269
1500500010164,92,26810.0,0.8443326035280593
1500500160431,0,0.0,0.0
1500500320145,18,74085.0,0.928497373149834
1500500320484,0,0.0,0.0
1500501650535,26,61635.0,0.913262765553872
1500500320376,13,80050.0,0.9349096172672051
1500501650554,14,57005.0,0.9067965124141838
1500501680573,0,0.0,0.0
1500501680588,7,3445.0,0.6744488489209112
1501800100228,60,12040.0,0.7780471774497582
1501800100158,76,6240.0,0.7236292547234584
1501800100213,50,5905.0,0.7190607353147874
1501800080035,51,154915.0,0.9895794375252216
1501800100143,58,6240.0,0.7236292547234584
1501800060196,39,126725.0,0.9729474615667317
1501800110232,0,0.0,0.0
1501800110247,0,0.0,0.0
1501800360251,0,0.0,0.0
1501800010139,72,44755.0,0.8867632766985318
1501800010162,0,0.0,0.0
1501800010124,62,53805.0,0.9020127069893574
1501800010177,0,0.0,0.0
1501800010209,77,36845.0,0.8706593775184508
1501800400266,38,60380.0,0.9115593200124592
1502200010108,0,0.0,0.0
1502200010042,0,0.0,0.0
1502200010057,0,0.0,0.0
1502200010080,0,0.0,0.0
1502200010076,0,0.0,0.0
1502200010095,0,0.0,0.0
1502200010061,0,0.0,0.0
1502200010112,0,0.0,0.0
1505100010256,47,105505.0,0.9577725578698787
1505100200330,41,24075.0,0.83542299252184
1505100010453,0,0.0,0.0
1505100240383,0,0.0,0.0
1505100280415,0,0.0,0.0
1505100260307,0,0.0,0.0
1505100010275,0,0.0,0.0
1505100010186,0,0.0,0.0
1505100010260,29,119910.0,0.9683701786907809
1505100240379,19,80970.0,0.9358558476570918
1505100260434,16,21250.0,0.825087901549945
1505100240491,112,129055.0,0.9744561081400211
1505100070294,18,11165.0,0.7717999900888498
1505100010472,9,146990.0,0.9852311783296426
1505100240398,2,58495.0,0.9089330493852924
1505100170400,60,4995.0,0.7052047803788323
1505100260326,0,0.0,0.0
1505100200449,15,18680.0,0.8144145127266675
1505100220364,23,10890.0,0.7697350934829463
1505100010241,74,130240.0,0.9752129644520868
1505100260311,16,21110.0,0.8245405797879218
1505100280504,0,0.0,0.0
1505100010468,0,0.0,0.0
1505100260345,1,25730.0,0.8409279894837118
1505100210078,24,30845.0,0.8559415166753697
1505100860487,0,0.0,0.0
1505400350417,9,131980.0,0.9763119096929838
1505400350402,17,131760.0,0.9761737653701574
1505400350648,13,136100.0,0.978857293705616
1505400470652,21,156795.0,0.9905782849381056
1505400320031,13,144315.0,0.9837103694884684
1505400370968,9,170015.0,0.9972811436474556
1505400381025,83,167905.0,0.9962470468620014
1505400491241,23,166055.0,0.9953296258703476
1505400491203,0,0.0,0.0
1505400491167,59,171005.0,0.9977619205255411
1505400491222,16,155980.0,0.99014675260895
1505400491218,55,168775.0,0.9966749937537864
1505400320794,0,0.0,0.0
1505400340864,21,173650.0,0.9990328944908597
1505400550775,29,163245.0,0.9939163984721827
1505400350811,2,133965.0,0.9775480365318613
1505400010332,114,173180.0,0.9988084708937649
1505400381006,61,167905.0,0.9962470468620014
1505400491133,89,170660.0,0.9975946937700166
1505400340898,53,171005.0,0.9977619205255411
1505400320760,0,0.0,0.0
1505400381082,51,163695.0,0.9941443442900217
1505400381097,22,164300.0,0.9944498192040205
1505400430741,26,100555.0,0.9537934986622614
1505400010563,92,169600.0,0.9970787725685483
1505400010578,47,168355.0,0.9964686748158091
1505400550506,61,166945.0,0.9957722486430228
1505400491186,76,169315.0,0.9969395078312095
1505400491237,0,0.0,0.0
1505400470667,20,155210.0,0.9897369707359
1505400370915,37,173620.0,0.9990185877390533
1505400340879,0,0.0,0.0
1505400010722,57,173610.0,0.9990138182724312
1505400370949,34,172225.0,0.9983505790591284
1505400431256,0,0.0,0.0
1505400381078,125,167720.0,0.9961557608074659
1505400491152,35,168980.0,0.9967755106596058
1505400370991,6,162190.0,0.9933795192349986
1505400381010,124,174205.0,0.9992971245122744
1505400350633,12,140830.0,0.9816862080066834
1505400491190,89,169905.0,0.9972275512750697
1505400491129,25,170150.0,0.9973468687340398
1505400491148,49,172405.0,0.9984370771455408
1505400491114,84,173790.0,0.9990996266686794
1505400340826,81,174505.0,0.9994396012703644
1505400340845,34,174810.0,0.9995842017666542
1505400340830,22,173180.0,0.9988084708937649
1505400340883,131,174205.0,0.9992971245122744
1505400370972,17,165450.0,0.9950273853355373
1505400340900,2,173180.0,0.9988084708937649
1505400370934,41,171555.0,0.998027817522634
1505400370953,43,170360.0,0.9974490041786527
1505400381044,118,174105.0,0.9992495777301033
1505400381059,87,172960.0,0.9987032121951775
1505400370987,52,166600.0,0.9956009508503975
1505400010703,38,164530.0,0.9945656551603317
1505400010718,22,158890.0,0.991677349641043
1505400381063,112,174105.0,0.9992495777301033
1505400491171,74,171005.0,0.9977619205255411
1505400010351,66,164730.0,0.994666250530422
1505400010510,55,166380.0,0.9954915321525641
1505400410756,4,161495.0,0.9930239290459674
1505400010737,71,171030.0,0.997774025293714
1505400010258,45,172295.0,0.9983842279413336
1505400010281,93,169585.0,0.997071448681866
1505401061260,0,0.0,0.0
1505500010058,79,141055.0,0.9818183975548737
1505500010043,94,148030.0,0.9858149866644411
1505500010062,4,138515.0,0.9803137265624808
1506200010226,0,0.0,0.0
1506200220067,29,120.0,0.3971181777991216
1506200220141,54,120.0,0.3971181777991216
1506200200279,9,9630.0,0.7595541734920038
1506200010118,5,20725.0,0.8230165199818017
1506200010211,15,24015.0,0.8352163745030946
1506200010298,4,18670.0,0.8143701747669003
1506200220160,34,120.0,0.3971181777991216
1506200230033,29,43890.0,0.8851472244250228
1506200140315,0,0.0,0.0
1506200220283,37,120.0,0.3971181777991216
1506200010194,20,32650.0,0.8606505371162344
1506200200122,8,7905.0,0.7432112437463724
1506200010245,38,40420.0,0.8783273711398193
1506200010175,26,38325.0,0.8739203812040099
1506200140300,0,0.0,0.0
1506200200137,23,9090.0,0.7547761140203804
1506200010207,22,30980.0,0.8563031311785145
1506200200048,23,9630.0,0.7595541734920038
1506200010264,0,0.0,0.0
1506200010230,15,24015.0,0.8352163745030946
1506700050218,12,73595.0,0.9279478833133262
1506700050222,0,0.0,0.0
1506700130260,15,13975.0,0.7903872015821761
1506700150275,56,15265.0,0.7976978206999737
1506700120186,89,5225.0,0.70893174114868
1506700010203,69,25825.0,0.841233148364672
1506700010190,74,18305.0,0.812735373925049
1506700140148,61,3720.0,0.680806520877532
1507200010078,25,21565.0,0.8263063066544472
1507200010097,27,30155.0,0.8540681918229975
1507200010059,8,19475.0,0.8178655155594698
1507200010082,24,21585.0,0.8263830637712546
1507200010063,0,0.0,0.0
1507200170114,23,240.0,0.45417174564178053
1507600010378,19,129385.0,0.9746675741827409
1507600010310,0,0.0,0.0
1507600010147,8,119410.0,0.9680241775201296
1507600010132,22,149420.0,0.9865888969589867
1507600010109,29,116905.0,0.966268605752508
1507600010414,4,160710.0,0.9926204461769904
1507600010306,12,159255.0,0.9918673501560551
1507600010382,150,149580.0,0.9866775177222848
1507600010058,26,103905.0,0.9565071911014483
1507600120397,5,130945.0,0.9756599857036264
1507600010202,7,56555.0,0.9061402594018584
1507600010359,19,140585.0,0.9815420278740846
1507600010096,12,96805.0,0.9506464058039324
1507600010185,1,87865.0,0.9426228730598756
1507600010363,27,147025.0,0.9852508928020887
1507600010325,25,150105.0,0.9869676402141175
1507600010113,31,122585.0,0.970197119968156
1507600010128,16,90005.0,0.9446154573239647
1507600010240,14,70505.0,0.9243961152009497
1507600010077,31,90255.0,0.9448451386344252
1507600010062,17,134380.0,0.9778041552113659
1508700790333,43,25465.0,0.8400707645499118
1508700010070,81,5845.0,0.7182151979644988
1508700300189,46,4825.0,0.7023380825342539
1508700290297,59,5045.0,0.7060293796218051
1508700300085,95,5065.0,0.7063569337343775
1508700210136,17,5485.0,0.712952218736378
1508700290282,68,5045.0,0.7060293796218051
1508700300329,120,4985.0,0.7050388705423579
1508700790348,15,16495.0,0.8041144073833071
1508700170314,25,10345.0,0.7654841213618323
1508700300174,30,5165.0,0.7079755460930554
1508700270278,30,13200.0,0.7856632274727642
1508700800352,0,0.0,0.0
1508900010060,0,0.0,0.0
1508900010130,0,0.0,0.0
1508900010075,0,0.0,0.0
1508900010111,0,0.0,0.0
1508900010145,0,0.0,0.0
1508900010126,0,0.0,0.0
1509000010146,19,6250.0,0.7237618285136772
1509000270288,23,5905.0,0.7190607353147874
1509000010150,0,0.0,0.0
1509000060339,0,0.0,0.0
1509000350127,12,4605.0,0.6984745264411539
1509000280269,18,2020.0,0.6302619990162074
1509000010165,100,5960.0,0.7198282989875776
1509000350358,0,0.0,0.0
1509000010362,0,0.0,0.0
1509000060292,0,0.0,0.0
1509000060305,0,0.0,0.0
1509000010273,8,5680.0,0.7158444418951853
1509000350235,42,5730.0,0.7165700474116693
1509000350254,0,0.0,0.0
1509000350343,14,5185.0,0.7082955061962615
1509000360023,23,120.0,0.3971181777991216
1509000060381,46,5325.0,0.7105012644764274
1509000010201,19,5960.0,0.7198282989875776
1509000060216,0,0.0,0.0
1509000060220,1,4865.0,0.703021582673191
1509000370076,9,3505.0,0.6758782095843063
1509000380184,29,4705.0,0.7002530649939542
1509000390057,28,240.0,0.45417174564178053
1509000010199,75,5960.0,0.7198282989875776
1509000360377,5,120.0,0.3971181777991216
1509000060324,0,0.0,0.0
1510600664723,3,145455.0,0.9843619082067387
1510600664757,29,163570.0,0.9940810889238303
1510600664668,0,0.0,0.0
1510600464827,8,137550.0,0.9797348257729513
1510600644969,50,144075.0,0.9835725477611549
1510600464812,0,0.0,0.0
1510600644973,52,143335.0,0.9831461476216522
1510602354564,0,0.0,0.0
1510600644988,60,141715.0,0.9822049406111408
1510600644954,82,159640.0,0.9920672903285043
1510602334460,20,167680.0,0.9961360100434096
1510600873994,38,164845.0,0.9947240375794575
1510600803871,47,144145.0,0.9836127694661723
1510600803829,10,135440.0,0.9784547645577728
1510600873975,79,152820.0,0.988451978995852
1510600803852,42,150300.0,0.9870751416288385
1510600924066,65,164410.0,0.9945052392265638
1510602354526,20,130640.0,0.9754668896338066
1510602354530,3,105845.0,0.9580389752083336
1510602334437,47,157035.0,0.9907049344899552
1510600864210,27,171725.0,0.9981098314257039
1510602334386,21,167350.0,0.9959728862373709
1510600904314,0,0.0,0.0
1510600904297,28,167305.0,0.9959506171633746
1510601124653,13,149800.0,0.9867992166156674
1510600754193,38,173460.0,0.9989422432878414
1510600864244,35,174585.0,0.9994775537061154
1510600803867,29,149805.0,0.9868019804219766
1510600933937,62,153450.0,0.9887926407849669
1510600803886,50,149805.0,0.9868019804219766
1510600722178,50,163850.0,0.9942227138954151
1510600803890,106,162505.0,0.9935401844906868
1510600704795,36,164510.0,0.9945555888986648
1510600704808,42,163015.0,0.9937996500635911
1510600844600,52,157380.0,0.9908866545222423
1510600864263,80,173445.0,0.99893508238549
1510600864259,114,174350.0,0.9993660188887271
1510600844598,29,162105.0,0.9933361116564257
1510600833922,0,0.0,0.0
1510600924070,0,0.0,0.0
1510600754102,52,167240.0,0.9959184401465304
1510600644916,11,132955.0,0.9769213813550619
1510600664776,29,164125.0,0.9943615744713041
1510600664761,48,149220.0,0.9864779874632532
1510600864278,34,173835.0,0.9991210648811688
1510600924051,0,0.0,0.0
1510600864282,5,172215.0,0.9983457709595526
1510600992197,11,3010.0,0.6632749086909225
1510600010330,29,164490.0,0.9945455214131438
1510600011945,93,149565.0,0.98666921355359
1510600832712,28,120280.0,0.9686252919814545
1510600012214,103,149215.0,0.9864752128216474
1510600832892,0,0.0,0.0
1510600013335,29,158930.0,0.991698192898494
1510600621771,41,145640.0,0.984467158572244
1510600754189,37,164925.0,0.9947642134941173
1510600833918,0,0.0,0.0
1510600731574,51,135115.0,0.978255828113763
1510600010400,163,172050.0,0.9982663969831108
1510600622680,20,134970.0,0.9781669174364809
1510600664719,31,157470.0,0.9909339942352151
1510600664687,36,141385.0,0.9820118946345547
1510602354511,19,129500.0,0.9747411401892987
1510600464831,15,142830.0,0.9828538926998182
1510600434884,73,130605.0,0.9754447022400662
1510600434899,16,128255.0,0.9739412104998523
1510600644935,39,150875.0,0.9873913228881448
1510600434901,41,128655.0,0.9741990595332728
1510600644992,49,141050.0,0.9818154623008144
1510600975007,0,0.0,0.0
1510600874047,68,164770.0,0.9946863549478979
1510602354545,10,113565.0,0.963868401185653
1510600933956,31,155600.0,0.9899447760323815
1510600874028,17,163440.0,0.9940152520439247
1510600873960,85,153210.0,0.9886630300652736
1510600775026,49,146510.0,0.984960333770877
1510600803833,37,143665.0,0.9833365703413383
1510602354507,20,134575.0,0.9779242271136211
1510600874009,79,165985.0,0.995294712274455
1510600754121,53,166590.0,0.9955959804086277
1510602344494,2,146545.0,0.9849801128242534
1510602334441,0,0.0,0.0
1510602334456,72,167370.0,0.9959827816815642
1510602334422,0,0.0,0.0
1510600904352,0,0.0,0.0
1510600904333,30,169755.0,0.9971544148243636
1510600754206,52,171845.0,0.9981676747249598
1510602334403,62,171840.0,0.998165265394037
1510600754136,65,171150.0,0.9978321035620583
1510602334418,19,158240.0,0.9913379093009703
1510600754140,61,165585.0,0.9950949231201165
1510602334371,37,169230.0,0.9968979273490848
1510600754155,15,165550.0,0.9950774186127996
1510600754117,26,159775.0,0.9921372850554147
1510600904348,18,170330.0,0.9974344211115016
1510600464846,21,152050.0,0.9880337023041915
1510600803814,17,141265.0,0.9819415843646898
1510600874013,0,0.0,0.0
1510600754174,61,173360.0,0.9988944922374597
1510600664672,21,133595.0,0.9773190198474867
1510600664704,21,141895.0,0.9823100490332399
1510600644920,21,136375.0,0.97902443838164
1510600464865,8,160095.0,0.9923029625250162
1510600874032,54,162315.0,0.9934433126013807
1510600924085,0,0.0,0.0
1510600664691,6,141835.0,0.9822750277147066
1510600464850,46,161440.0,0.9929957235044122
1510600803903,28,144695.0,0.9839281191692565
1510600803848,33,149325.0,0.9865362334706503
1510600933941,34,148240.0,0.9859323732076551
1510600775011,64,153815.0,0.9889893690237983
1510600704780,2,159260.0,0.9918699498782579
1510602334390,22,168460.0,0.996520302763973
1510600864225,19,175690.0,1.0
1510600844615,30,167230.0,0.9959134887262795
1510600904329,29,169755.0,0.9971544148243636
1510600904367,34,164715.0,0.9946587101152651
1510600982515,30,780.0,0.5515327330187489
1510600012106,120,165445.0,0.9950248828779239
1510600553655,9,129800.0,0.9749327444390822
1510600011061,60,163695.0,0.9941443442900217
1510600010345,11,173735.0,0.9990734168692649
1510600701790,44,150720.0,0.9873062102063818
1510600012089,49,159090.0,0.9917815135026478
1510600010519,103,175570.0,0.9999434230347233
1510600013231,84,173775.0,0.9990924793642689
1510600011023,49,165755.0,0.9951798924172249
1510600010415,39,174865.0,0.9996102504142926
1510600011926,136,164035.0,0.9943161548210199
1510602354579,18,113465.0,0.9637954550132739
1510602203778,0,0.0,0.0
1510600652981,0,0.0,0.0
1510600012036,59,163930.0,0.9942631337224108
1510600683744,15,98140.0,0.9517805311432921
1510600012074,45,172510.0,0.9984874926675086
1510600010453,57,167995.0,0.9962914199328958
1510600013104,88,164965.0,0.9947842941440483
1510600012125,163,175280.0,0.9998065355650397
1510600013195,96,163915.0,0.9942555565075751
1510600013320,38,148995.0,0.9863530364566783
1510600013208,115,166525.0,0.9955636652627319
1510600012816,31,150035.0,0.9869290158954757
1510600010631,126,170765.0,0.9976456246296194
1510600013369,51,150655.0,0.9872704917391939
1510600010646,81,175240.0,0.9997876367633571
1510600013388,42,158775.0,0.9916173960345336
1510600013354,48,152260.0,0.9881479874642488
1510600010580,108,168140.0,0.9963628599031387
1510600010595,80,170565.0,0.9975485864601431
1510600010449,89,167935.0,0.9962618405278151
1510600010468,116,175220.0,0.9997781857447848
1510600010472,131,152040.0,0.9880282562173682
1510600010561,142,166235.0,0.9954193361514302
1510600012040,66,172850.0,0.9986505326282896
1510600010557,50,174025.0,0.9992115206376716
1510600010538,143,173310.0,0.998870606382168
1510600010576,70,163715.0,0.9941544606659378
1510600010398,138,174635.0,0.9995012651481919
1510600011979,95,152020.0,0.9880173629690436
1510600012144,85,174665.0,0.9995154887550227
1510600011983,113,159940.0,0.9922227538952991
1510600010491,95,175460.0,0.9998915268361817
1510600972267,30,131775.0,0.9761831916258755
1510600682500,10,135560.0,0.97852809736898
1510600792695,0,0.0,0.0
1510600791502,14,169790.0,0.9971714857748899
1510600512746,14,81490.0,0.9363859290831372
1510600512731,14,56335.0,0.9058175217617886
1510600702252,25,148830.0,0.9862612857374652
1510601122483,0,0.0,0.0
1510600831521,57,106215.0,0.9583279293124398
1510600653458,13,4610.0,0.6985643664973605
1510600012159,40,174205.0,0.9992971245122744
1510600010487,118,172540.0,0.9985018914662794
1510600012411,153,174885.0,0.9996197206185256
1510600013246,21,173735.0,0.9990734168692649
1510600013212,168,166805.0,0.9957027792123345
1510600012430,60,174305.0,0.9993446440088514
1510600011678,71,169450.0,0.9970055045355457
1510600013373,0,0.0,0.0
1510600010608,58,175240.0,0.9997876367633571
1510600010307,176,172045.0,0.9982639905229647
1510600010434,116,167490.0,0.9960421295265109
1510600010773,38,166670.0,0.9956357355914079
1510600010769,48,165225.0,0.9949146998055252
1510600664738,0,0.0,0.0
1510600832394,39,129355.0,0.9746483722969889
1510600664742,27,149520.0,0.9866442960496273
1510600831659,12,123135.0,0.9705678083109386
