cve_ageb,npp_score,equity_score,final_score,priority_rank,priority_quintile
1500501430501,0.517008520303291,0.1686283403451419,0.4473324843116612,314,3
1500500340380,0.5651855607428745,0.547664312353628,0.5616813110650253,53,5
1500500040215,0.5518881732807329,0.5259322517405022,0.5466969889726868,77,5
1500500350499,0.537438639413216,0.5863304178075072,0.5472169950920743,76,5
1500500370395,0.5578562176265947,0.5102706123918223,0.5483390965796402,74,5
1500500010361,0.5052408876467274,0.19211326975290693,0.4426153640679633,324,2
1500501650516,0.562082494962936,0.3137491632933308,0.512415828629015,151,4
1500500450342,0.5642110301550384,0.5234401204002169,0.5560568482040741,62,5
1500501650520,0.5258056770375282,0.32000664892641645,0.4846458714153059,216,3
1500500010450,0.5096104863513081,0.1950723831617585,0.44670286571339823,316,3
1500500010164,0.596379339951602,0.1788327625641261,0.5128700244741068,150,4
1500500160431,0.497373860656398,0.5675025643443339,0.5113996013939852,153,4
1500500320145,0.5222621496174122,0.3547212976437154,0.48875397922267294,201,4
1500500320484,0.505466225139701,0.17861704410907295,0.4400963889335754,330,2
1500501650535,0.4020434097973249,0.16694004041644817,0.3550227359211496,474,1
1500500320376,0.41448640604589215,0.2159002897557511,0.374769182787864,458,1
1500501650554,0.39613186385975085,0.17857049189322124,0.35261958946644495,475,1
1500501680573,0.4683703445781294,0.1949062541196424,0.4136775264864321,388,2
1500501680588,0.5250993778183851,0.21909975648973615,0.4638994535526554,279,3
1501800100228,0.42653624595041373,0.4971166202456334,0.4406523208094577,328,2
1501800100158,0.4945959572050242,0.3640045334007867,0.4684776724441767,257,3
1501800100213,0.3446658602975802,0.3306233536665648,0.3418573589713771,486,1
1501800080035,0.5830886868686284,0.36073652296165787,0.5386182540872343,88,5
1501800100143,0.6104508629703854,0.49628663258658756,0.5876180168936259,24,5
1501800060196,0.515675094144228,0.35922880731914836,0.4843858367792121,219,3
1501800110232,0.24857641227640498,0.0051363840967096,0.19988840664046592,533,1
1501800110247,0.2811055392336052,0.00502440131382935,0.22588931164965007,529,1
1501800360251,0.5045211455825663,0.18681769372381915,0.4409804552108169,326,2
1501800010139,0.6019402619745768,0.3428361976717388,0.5501194491140092,70,5
1501800010162,0.39966521049887777,0.5189462098996556,0.42352141037903335,370,2
1501800010124,0.633538594928076,0.36084999018164765,0.5790008739787903,35,5
1501800010177,0.552559721363815,0.3838657871310292,0.5188209345172579,128,4
1501800010209,0.3634776125194826,0.43217663279567214,0.3772174165747205,454,1
1501800400266,0.41815949150847037,0.01290765746965855,0.33710912470070803,490,1
1502200010108,0.12000144468408822,0.2056233536665648,0.13712582648058355,537,1
1502200010042,0.32463910867924684,0.33613079258862355,0.3269374454611222,500,1
1502200010057,0.3555542705132554,0.1966491799868346,0.3237732524079713,502,1
1502200010080,0.3705839247020879,0.3461863633760417,0.3657044124368787,465,1
1502200010076,0.11495010740743086,0.2056233536665648,0.13308475665925767,538,1
1502200010095,0.19934468328597665,0.19515527041006053,0.19850680071079344,534,1
1502200010061,0.38087278410618125,0.18823335433366745,0.3423448981516785,485,1
1502200010112,0.3987611658364601,0.3443327673537858,0.38787548613992523,433,1
1505100010256,0.5485614387887094,0.1663375371461385,0.47211665846019524,249,3
1505100200330,0.5690790225215488,0.32450672510283857,0.5201645630378069,123,4
1505100010453,0.3690652565548278,0.0052494960419645,0.29630210445225513,514,1
1505100240383,0.5643022205949384,0.3462433096710355,0.5206904384101578,121,4
1505100280415,0.48087014473372447,0.3450528954896602,0.45370669488491167,297,3
