route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
18178778,merge,Route overlaps 81.8% of served AGEBs with 18212712 (Jaccard=0.82). Consolidation improves frequency without expanding coverage.,0.17417714485145405,,18212712,Merge 18178778 into 18212712; combine headways to improve service frequency.
18212710,merge,Route overlaps 73.3% of served AGEBs with 18212738 (Jaccard=0.73). Consolidation improves frequency without expanding coverage.,0.22637960601346252,,18212738,Merge 18212710 into 18212738; combine headways to improve service frequency.
18212712,retire,"Route has low demand-gain (f1=0.003, score=0.192) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.1919840464766614,,,Reduce frequency or retire 18212712; reallocate vehicles to higher-demand routes.
18212716,retire,"Route has low demand-gain (f1=0.005, score=0.230) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2300963447223442,,,Reduce frequency or retire 18212716; reallocate vehicles to higher-demand routes.
18212734,merge,Route overlaps 66.7% of served AGEBs with 18212752 (Jaccard=0.67). Consolidation improves frequency without expanding coverage.,0.12661407698535,,18212752,Merge 18212734 into 18212752; combine headways to improve service frequency.
18212736,merge,Route overlaps 62.5% of served AGEBs with 18212710 (Jaccard=0.62). Consolidation improves frequency without expanding coverage.,0.22189430447190134,,18212710,Merge 18212736 into 18212710; combine headways to improve service frequency.
18212738,retire,"Route has low demand-gain (f1=0.003, score=0.228) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.22760099170264564,,,Reduce frequency or retire 18212738; reallocate vehicles to higher-demand routes.
18212742,merge,Route overlaps 66.7% of served AGEBs with 18212752 (Jaccard=0.67). Consolidation improves frequency without expanding coverage.,0.127208184270239,,18212752,Merge 18212742 into 18212752; combine headways to improve service frequency.
18212744,merge,Route overlaps 61.1% of served AGEBs with 18874884 (Jaccard=0.61). Consolidation improves frequency without expanding coverage.,0.16793491062439037,,18874884,Merge 18212744 into 18874884; combine headways to improve service frequency.
18212752,merge,Route overlaps 61.1% of served AGEBs with 18874884 (Jaccard=0.61). Consolidation improves frequency without expanding coverage.,0.1739794650441432,,18874884,Merge 18212752 into 18874884; combine headways to improve service frequency.
18212798,merge,Route overlaps 66.7% of served AGEBs with 18212752 (Jaccard=0.67). Consolidation improves frequency without expanding coverage.,0.11865374578075494,,18212752,Merge 18212798 into 18212752; combine headways to improve service frequency.
18212802,retire,"Route has low demand-gain (f1=0.005, score=0.133) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.13258188891341408,,,Reduce frequency or retire 18212802; reallocate vehicles to higher-demand routes.
18212806,merge,Route overlaps 76.2% of served AGEBs with 18212802 (Jaccard=0.76). Consolidation improves frequency without expanding coverage.,0.1185818366759781,,18212802,Merge 18212806 into 18212802; combine headways to improve service frequency.
18212813,merge,Route overlaps 93.8% of served AGEBs with 18212846 (Jaccard=0.94). Consolidation improves frequency without expanding coverage.,0.22990918291502982,,18212846,Merge 18212813 into 18212846; combine headways to improve service frequency.
18212821,merge,Route overlaps 66.7% of served AGEBs with 18212752 (Jaccard=0.67). Consolidation improves frequency without expanding coverage.,0.11791752632765287,,18212752,Merge 18212821 into 18212752; combine headways to improve service frequency.
18212846,retire,"Route has low demand-gain (f1=0.003, score=0.232) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.23167118504753115,,,Reduce frequency or retire 18212846; reallocate vehicles to higher-demand routes.
18265943,merge,Route overlaps 65.0% of served AGEBs with 18266208 (Jaccard=0.65). Consolidation improves frequency without expanding coverage.,0.05432512365833492,,18266208,Merge 18265943 into 18266208; combine headways to improve service frequency.
18265967,merge,Route overlaps 61.9% of served AGEBs with 18334522 (Jaccard=0.62). Consolidation improves frequency without expanding coverage.,0.12298465921058607,,18334522,Merge 18265967 into 18334522; combine headways to improve service frequency.
18265983,merge,Route overlaps 75.0% of served AGEBs with 18266208 (Jaccard=0.75). Consolidation improves frequency without expanding coverage.,0.04974269903196539,,18266208,Merge 18265983 into 18266208; combine headways to improve service frequency.
18266002,retire,"Route has low demand-gain (f1=0.006, score=0.078) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.07794489695266968,,,Reduce frequency or retire 18266002; reallocate vehicles to higher-demand routes.
18266011,merge,Route overlaps 75.0% of served AGEBs with 18266208 (Jaccard=0.75). Consolidation improves frequency without expanding coverage.,0.04988383764129666,,18266208,Merge 18266011 into 18266208; combine headways to improve service frequency.
18266023,merge,Route overlaps 81.8% of served AGEBs with 18266208 (Jaccard=0.82). Consolidation improves frequency without expanding coverage.,0.08063362179607246,,18266208,Merge 18266023 into 18266208; combine headways to improve service frequency.
18266067,merge,Route overlaps 75.0% of served AGEBs with 18266208 (Jaccard=0.75). Consolidation improves frequency without expanding coverage.,0.04988383764129666,,18266208,Merge 18266067 into 18266208; combine headways to improve service frequency.
18266070,merge,Route overlaps 72.0% of served AGEBs with 18266208 (Jaccard=0.72). Consolidation improves frequency without expanding coverage.,0.05589943470018354,,18266208,Merge 18266070 into 18266208; combine headways to improve service frequency.
