feature,dimension,critic_weight,ewm_weight,ensemble_weight
pe_rezago_n,PEOPLE,0.14465704100518742,0.21859699459468404,0.18162701779993573
p_employment_proxy_n,PLACE,0.10997862122999472,0.1666113472541246,0.13829498424205966
p_service_density_n,PLACE,0.09240839122803352,0.14624417891863656,0.11932628507333504
n_intersection_density_n,NODE,0.10105633107036384,0.11526044729629983,0.10815838918333184
pe_marginacion_n,PEOPLE,0.0631095947422696,0.13675316453453434,0.09993137963840197
p_land_use_mix_n,PLACE,0.0635529820030186,0.0324345945714066,0.047993788287212596
p_retail_density_n,PLACE,0.05199582700972526,0.04350986916258114,0.047752848086153196
n_intersections_n,NODE,0.06343379445498085,0.030346544135639024,0.04689016929530994
n_street_density_n,NODE,0.06339968113151606,0.02168299213299915,0.042541336632257606
p_poi_density_n,PLACE,0.04863021951273108,0.027382677093243803,0.03800644830298744
pe_dep_ratio_n,PEOPLE,0.054018088505917376,0.01619769707267975,0.035107892789298566
pe_youth_share_n,PEOPLE,0.050443033371695443,0.019120215381594714,0.03478162437664508
pe_population_n,PEOPLE,0.04984958206933979,0.01537623006766582,0.032612906068502805
pe_pop_density_n,PEOPLE,0.04346681266522654,0.010483047783910605,0.026974930224568573
